timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb
3362,-6.907,-6.416,2.126,-0.179,0.048,-0.012,1.961,2.040,2.118,-0.059,-0.003,0.014,-13994,-7336,4315,565,346,1,0,4,1
6398,-6.874,-6.349,2.155,-0.179,0.050,-0.012,1.961,2.040,2.118,-0.056,-0.005,0.013,-13961,-7364,4272,542,154,1,0,0,1
9433,-6.859,-6.412,2.186,-0.181,0.051,-0.016,1.961,2.040,2.118,-0.056,-0.005,0.015,-14023,-7321,4254,1473,1239,1,399,254,1
12468,-6.924,-6.483,2.231,-0.179,0.049,-0.015,1.961,2.040,2.118,-0.060,-0.005,0.014,-14030,-7250,4310,634,442,1,0,0,1
15503,-6.888,-6.483,2.205,-0.176,0.046,-0.017,1.961,2.040,2.118,-0.060,-0.004,0.014,-14009,-7336,4287,592,223,1,0,0,1
18538,-6.869,-6.483,2.169,-0.196,0.049,-0.013,1.961,2.040,2.118,-0.061,-0.005,0.012,-14015,-7349,4187,1440,1243,1,397,268,1
21573,-6.881,-6.407,2.260,-0.187,0.048,-0.011,1.961,2.040,2.118,-0.060,-0.001,0.013,-13967,-7323,4327,790,614,1,47,42,1
24608,-6.823,-6.517,2.140,-0.193,0.046,-0.016,1.961,2.040,2.118,-0.053,-0.005,0.012,-13955,-7319,4282,383,0,1,0,0,1
27643,-6.883,-6.421,2.150,-0.180,0.046,-0.015,1.961,2.040,2.118,-0.061,-0.002,0.015,-14093,-7240,4240,1330,1102,1,350,199,1
30678,-6.898,-6.500,2.176,-0.181,0.045,-0.014,1.961,2.040,2.118,-0.059,-0.005,0.013,-14004,-7312,4294,1091,935,1,176,136,1
33713,-6.859,-6.431,2.195,-0.191,0.047,-0.011,1.961,2.040,2.118,-0.059,-0.005,0.015,-14012,-7349,4231,251,0,1,0,0,1
36748,-6.883,-6.409,2.251,-0.181,0.046,-0.016,1.961,2.040,2.118,-0.058,-0.005,0.012,-14003,-7308,4289,1264,978,1,304,171,1
39783,-6.891,-6.452,2.119,-0.185,0.046,-0.017,1.961,2.040,2.118,-0.055,-0.003,0.012,-13987,-7295,4261,1251,1093,1,256,191,1
42818,-6.900,-6.448,2.138,-0.185,0.048,-0.014,1.961,2.040,2.118,-0.056,-0.004,0.014,-14037,-7278,4321,298,26,1,0,0,1
