Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
10,Syf,2025-10-05 06:58:58.407,0.632,-0.105,-9.555,-0.181,0.048,-0.013,2.393,-4.276,6.669,0.003,0.002,-0.004,-1141.0,3054.0,-15855.0,1965,2096,1,1846,1907,1,0
10,Syf,2025-10-05 06:58:58.527,0.587,-0.067,-9.553,-0.182,0.047,-0.013,2.432,-4.276,6.669,0.004,-0.0,-0.003,-1148.0,3129.0,-15856.0,1967,2098,1,1840,1902,1,0
10,Syf,2025-10-05 06:58:58.648,0.618,-0.065,-9.574,-0.181,0.047,-0.013,2.393,-4.276,6.669,-0.0,0.001,-0.002,-1094.0,3115.0,-15855.0,1968,2095,1,1834,1904,1,0
10,Syf,2025-10-05 06:58:58.768,0.589,-0.098,-9.565,-0.182,0.048,-0.013,2.432,-4.276,6.708,0.003,0.0,-0.002,-1200.0,3071.0,-15892.0,1965,2096,1,1779,1906,1,0
10,Syf,2025-10-05 06:58:58.888,0.603,-0.062,-9.543,-0.182,0.047,-0.013,2.432,-4.276,6.669,0.006,-0.002,-0.005,-1139.0,3156.0,-15878.0,1969,2093,1,1840,1905,1,0
10,Syf,2025-10-05 06:58:59.007,0.622,-0.062,-9.536,-0.181,0.046,-0.014,2.393,-4.276,6.669,-0.002,0.004,-0.002,-1073.0,3151.0,-15881.0,2047,2089,1,1843,1909,1,0
10,Syf,2025-10-05 06:58:59.127,0.646,-0.081,-9.548,-0.18,0.049,-0.017,2.393,-4.276,6.669,0.864,0.101,3.696,-3505.0,-4271.0,-21660.0,1964,2094,1,1842,1904,1,0
10,Syf,2025-10-05 06:58:59.248,0.881,0.113,-9.359,-0.22,-0.013,-0.151,2.432,-4.276,6.669,-7.165,-1.127,0.468,-7245.0,13080.0,-15567.0,1970,2091,1,1840,1907,1,0
10,Syf,2025-10-05 06:58:59.367,0.646,0.345,-9.12,-0.391,-0.297,0.603,2.393,-4.276,6.669,-3.078,3.956,3.451,1340.0,11298.0,-5242.0,1963,2095,1,1851,1918,1,0
10,Syf,2025-10-05 06:58:59.477,0.457,0.388,-9.141,-0.462,0.125,0.059,2.393,-4.276,6.669,-1.987,4.424,1.359,7830.0,10845.0,853.0,1958,2091,1,1843,1906,1,0
10,Syf,2025-10-05 06:58:59.587,0.376,0.33,-10.709,0.132,-0.838,-0.188,2.432,-4.276,6.669,0.184,1.517,0.045,8824.0,11346.0,4705.0,1980,2102,1,1834,1911,1,0
10,Syf,2025-10-05 06:58:59.698,0.182,0.654,-9.129,-0.396,0.25,-0.165,2.432,-4.276,6.669,0.471,0.458,0.071,10642.0,10347.0,8681.0,1975,2096,1,1842,1899,1,0
10,Syf,2025-10-05 06:58:59.807,0.524,0.335,-9.914,-0.182,-0.382,0.002,2.432,-4.276,6.669,0.289,0.413,0.184,11097.0,10274.0,6506.0,1968,1914,1,1842,1909,1,0
10,Syf,2025-10-05 06:58:59.918,-1.08,-0.345,-8.509,0.408,0.122,-0.498,2.432,-4.276,6.669,-0.086,-0.414,-0.278,11092.0,11432.0,5598.0,1968,1893,1,1842,1911,1,0
10,Syf,2025-10-05 06:59:00.037,0.256,1.302,-8.404,0.296,0.068,0.09,2.393,-4.276,6.669,-0.313,-0.486,-0.126,10790.0,11756.0,6148.0,1970,2085,1,1839,1909,1,0
10,Syf,2025-10-05 06:59:00.148,0.615,0.656,-9.579,-0.181,0.052,-0.011,2.393,-4.276,6.669,-0.368,-0.936,0.115,9569.0,11853.0,5469.0,1969,2107,1,1840,1904,1,0
10,Syf,2025-10-05 06:59:00.257,0.587,0.658,-9.5,-0.175,0.036,-0.013,2.432,-4.276,6.669,-0.417,0.136,0.147,10168.0,10502.0,7028.0,1955,2098,1,1840,1914,1,0
10,Syf,2025-10-05 06:59:00.367,0.661,0.735,-9.5,-0.187,0.054,-0.017,2.432,-4.236,6.669,-0.243,0.71,0.071,10262.0,10722.0,7641.0,1970,2085,1,1840,1911,1,0
10,Syf,2025-10-05 06:59:00.477,0.613,0.663,-9.505,-0.181,0.058,-0.018,2.354,-4.236,6.669,-0.356,0.371,0.126,10261.0,10628.0,9697.0,1968,1904,1,1841,1905,1,0
10,Syf,2025-10-05 06:59:00.587,0.637,0.699,-9.491,-0.178,0.029,-0.012,2.511,-4.511,6.708,0.061,0.115,0.041,9922.0,9889.0,7359.0,1967,1905,1,1840,1914,1,0
10,Syf,2025-10-05 06:59:00.697,0.591,0.694,-9.503,-0.168,0.041,-0.007,2.354,-4.236,6.629,-0.057,1.197,-0.269,8661.0,9908.0,8682.0,1968,1901,1,1845,1904,1,0
10,Syf,2025-10-05 06:59:00.807,0.651,0.67,-9.534,-0.179,0.052,-0.016,2.354,-3.844,6.551,0.007,0.646,-0.08,9112.0,12477.0,12730.0,1969,1899,1,1846,1906,1,0
10,Syf,2025-10-05 06:59:00.916,0.596,0.67,-9.515,-0.187,0.044,-0.012,2.197,-4.354,6.825,-0.417,-1.309,0.432,8712.0,11285.0,12807.0,1973,1893,1,1845,1910,1,0
10,Syf,2025-10-05 06:59:01.026,0.611,0.692,-9.467,-0.175,0.033,-0.017,2.471,-4.472,6.59,-0.451,-1.512,0.542,10466.0,9841.0,12109.0,1968,1904,1,1847,1914,1,0
10,Syf,2025-10-05 06:59:01.138,0.596,0.67,-9.507,-0.174,0.045,-0.015,2.236,-4.668,7.414,-0.364,-1.795,0.715,12625.0,7252.0,7164.0,1969,1906,1,1839,1911,1,0
10,Syf,2025-10-05 06:59:01.248,0.577,0.69,-9.486,-0.184,0.053,-0.011,3.805,-4.55,7.257,0.32,-1.442,0.414,14237.0,4841.0,4493.0,1959,1875,1,1833,1905,1,0
10,Syf,2025-10-05 06:59:01.357,0.613,0.697,-9.515,-0.171,0.023,-0.007,4.472,-3.177,8.551,0.765,-1.883,0.153,13944.0,5238.0,247.0,1963,1906,1,1853,1894,1,0
10,Syf,2025-10-05 06:59:01.466,0.62,0.675,-9.491,-0.176,0.046,-0.015,4.786,-1.138,8.904,0.43,-0.403,-0.32,12578.0,5599.0,-3586.0,1974,2021,1,1835,1903,1,0
10,Syf,2025-10-05 06:59:01.578,0.591,0.718,-9.51,-0.174,0.028,-0.015,2.785,-3.099,8.748,0.514,0.525,-1.027,16333.0,7902.0,-3063.0,1966,1890,1,1840,1914,1,0
