Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
10,Udarzenia_lewa,2025-10-05 07:05:16.289,2.883,-10.846,-7.403,0.282,0.516,-1.833,3.844,-3.02,9.179,2.558,-0.99,-1.079,-9182.0,-13676.0,-8597.0,1968,1944,1,1840,1907,1,0
10,Udarzenia_lewa,2025-10-05 07:05:16.410,4.468,-9.981,-5.588,-0.191,2.359,-1.496,3.844,-3.06,9.218,2.217,-2.87,-1.24,-2121.0,-14784.0,-7982.0,1959,1895,1,1844,1904,1,0
10,Udarzenia_lewa,2025-10-05 07:05:16.529,5.332,-7.772,-9.498,-0.363,3.13,-2.518,3.844,-3.02,9.14,2.042,-1.103,-2.327,2482.0,-13879.0,-4205.0,1962,1894,1,1825,1906,1,0
10,Udarzenia_lewa,2025-10-05 07:05:16.649,4.949,-0.618,14.334,0.699,2.842,-3.084,3.883,-3.02,9.179,-1.213,-1.505,-1.863,5381.0,-9168.0,-6185.0,1962,1893,1,1842,1906,1,0
10,Udarzenia_lewa,2025-10-05 07:05:16.769,13.266,2.437,10.101,2.421,3.786,-2.146,3.844,-3.02,9.179,-0.728,-0.786,-0.913,8750.0,-13458.0,-658.0,1968,1891,1,1838,1910,1,0
10,Udarzenia_lewa,2025-10-05 07:05:16.889,-5.294,12.993,9.414,-4.366,-1.32,4.366,3.883,-2.981,9.179,0.282,-1.323,-0.354,9698.0,-9644.0,-4354.0,1935,1894,1,1840,1911,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.010,-9.773,-38.741,-7.242,4.366,1.649,4.366,3.844,-2.981,9.179,-0.009,-0.45,-0.523,6968.0,-12426.0,-7180.0,1955,1902,1,1841,1906,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.127,-8.2,-16.606,1.935,-1.492,0.81,-4.366,3.923,-2.981,9.179,0.081,0.657,0.073,8954.0,-9973.0,-5154.0,1933,1900,1,1841,1910,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.239,2.263,-1.946,6.005,2.114,-0.128,-4.273,3.923,-3.02,9.218,-0.28,0.391,-0.15,11028.0,-10790.0,-5794.0,1951,1894,1,1851,1904,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.357,6.318,6.673,15.265,-2.418,0.165,-1.598,4.001,-2.942,9.257,0.094,-0.216,0.09,9055.0,-12320.0,-3419.0,1938,1895,1,1846,1911,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.470,13.369,-12.692,19.719,1.547,-0.516,0.192,3.962,-2.903,9.218,0.2,-0.205,-0.131,8651.0,-12912.0,-3511.0,1929,1901,1,1837,1911,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.587,0.175,14.703,16.934,0.573,0.464,0.945,4.001,-2.824,9.336,0.393,-0.948,-0.125,8812.0,-13543.0,-5394.0,1938,1885,1,1841,1913,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.699,-12.064,5.361,-8.006,-4.366,-1.243,4.366,3.923,-2.667,9.414,0.437,-0.904,-0.215,7412.0,-11970.0,-5297.0,1950,1883,1,1834,1915,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.820,12.924,-33.627,-6.596,1.552,-2.502,-0.727,3.727,-2.471,9.493,-0.36,0.111,-0.586,6001.0,-13983.0,-8265.0,1936,1893,1,1839,1903,1,0
10,Udarzenia_lewa,2025-10-05 07:05:17.940,-6.474,-17.911,-4.068,1.361,-0.961,-4.366,3.53,-2.275,9.414,-0.193,0.252,0.356,10026.0,-14177.0,-3316.0,1945,1887,1,1841,1917,1,0
10,Udarzenia_lewa,2025-10-05 07:05:18.059,3.816,3.024,14.961,-0.696,1.447,-3.381,3.295,-2.157,9.571,-0.051,0.128,-0.062,8531.0,-12357.0,-3505.0,1954,1890,1,1840,1915,1,0
10,Udarzenia_lewa,2025-10-05 07:05:18.180,6.649,-0.893,13.278,-0.732,-0.786,-1.157,3.138,-2.04,9.964,-0.06,-0.808,-0.029,8248.0,-13314.0,-5945.0,1942,1872,1,1851,1910,1,0
10,Udarzenia_lewa,2025-10-05 07:05:18.299,8.241,-3.596,9.378,0.578,0.092,-0.332,3.256,-1.569,9.375,0.016,-0.562,0.007,8224.0,-12963.0,-5133.0,1954,1888,1,1831,1911,1,0
