Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,Cycling,2025-10-05 02:18:28.747,3.033,-8.945,4.767,-0.162,-0.012,-0.006,-14.435,26.046,69.039,-0.107,-0.05,-0.018,4923.0,-12092.0,-9673.0,1961,1897,1,1840,1908,1,0
1,Cycling,2025-10-05 02:18:28.866,3.021,-8.614,4.853,-0.181,0.086,-0.051,-14.435,26.046,69.039,-0.03,0.006,0.002,5022.0,-11589.0,-9526.0,1962,1899,1,1840,1904,1,0
1,Cycling,2025-10-05 02:18:28.986,2.911,-8.744,4.851,-0.171,0.054,-0.031,-14.435,26.046,69.039,-0.042,0.019,0.005,5424.0,-11980.0,-9297.0,1965,1895,1,1841,1907,1,0
1,Cycling,2025-10-05 02:18:29.106,2.787,-8.717,4.877,-0.182,0.029,-0.054,-14.435,26.046,69.039,0.069,0.046,-0.03,5317.0,-11978.0,-9096.0,1964,1901,1,1823,1909,1,0
1,Cycling,2025-10-05 02:18:29.226,2.741,-8.832,5.114,-0.147,-0.058,0.01,-14.435,26.046,69.039,0.041,0.034,-0.006,5533.0,-11881.0,-9214.0,1964,1895,1,1837,1908,1,0
1,Cycling,2025-10-05 02:18:29.346,2.605,-8.588,5.42,-0.177,-0.32,0.085,-14.435,26.046,69.039,0.054,0.056,0.053,5872.0,-11358.0,-9323.0,1968,1898,1,1841,1909,1,0
1,Cycling,2025-10-05 02:18:29.466,2.713,-8.404,5.303,-0.165,-0.431,0.134,-14.435,26.046,69.039,-0.055,0.096,0.137,5667.0,-11614.0,-9217.0,1965,1921,1,1842,1905,1,0
1,Cycling,2025-10-05 02:18:29.586,3.587,-7.733,4.207,-0.271,-0.594,0.139,-14.435,26.046,69.039,0.128,0.312,0.171,5247.0,-10484.0,-8627.0,1959,1893,1,1841,1908,1,0
1,Cycling,2025-10-05 02:18:29.704,3.926,-6.744,1.875,-0.404,-0.134,0.412,-14.435,26.046,69.039,0.24,0.006,0.556,4290.0,-8691.0,-6197.0,1968,1894,1,1842,1904,1,0
1,Cycling,2025-10-05 02:18:29.816,3.273,-5.636,1.985,-1.04,0.18,0.427,-14.435,26.046,69.039,0.337,0.334,1.01,1615.0,-6925.0,-5155.0,1957,1894,1,1841,1908,1,0
1,Cycling,2025-10-05 02:18:29.926,0.883,-5.933,2.095,-0.104,0.625,-0.085,-14.435,26.046,69.039,-0.103,0.023,0.418,1878.0,-8785.0,-4970.0,1965,1897,1,1843,1909,1,0
