Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,strzal,2025-10-05 02:30:24.045,1.252,-7.166,7.302,-0.168,0.028,0.018,-14.435,26.046,69.039,0.095,0.104,-0.121,5871.0,-7498.0,-12245.0,1964,1904,1,1850,1903,1,0
1,strzal,2025-10-05 02:30:24.165,1.113,-7.321,7.537,-0.132,0.038,0.08,-14.435,26.046,69.039,0.097,0.111,-0.173,5754.0,-8962.0,-12278.0,1962,1900,1,1850,1904,1,0
1,strzal,2025-10-05 02:30:24.285,1.025,-7.57,7.566,-0.187,0.009,0.028,-14.435,26.046,69.039,0.027,0.064,-0.128,6654.0,-7692.0,-12441.0,1967,1880,1,1850,1901,1,0
1,strzal,2025-10-05 02:30:24.405,1.125,-6.993,7.645,-0.143,0.031,-0.033,-14.435,26.046,69.039,-0.082,0.009,-0.051,6205.0,-8639.0,-12213.0,1967,1910,1,1833,1904,1,0
1,strzal,2025-10-05 02:30:24.525,1.128,-7.276,7.527,-0.224,0.032,0.01,-14.435,26.046,69.039,-0.076,-0.051,-0.069,6203.0,-8093.0,-12587.0,1966,1903,1,1843,1910,1,0
1,strzal,2025-10-05 02:30:24.645,1.001,-7.257,7.223,-0.193,0.053,-0.022,-14.435,26.046,69.039,-0.422,0.282,-0.33,7176.0,-9554.0,-13848.0,1967,1902,1,1850,1904,1,0
1,strzal,2025-10-05 02:30:24.765,0.496,-7.982,7.527,-0.115,0.059,-0.096,-14.435,26.046,69.039,-1.496,2.888,-4.706,13254.0,-11524.0,-18159.0,1968,1901,1,1842,1904,1,0
1,strzal,2025-10-05 02:30:24.885,0.443,-7.867,8.021,-0.311,0.15,-0.323,-14.435,26.046,69.039,1.117,3.741,-5.912,10410.0,10127.0,-6535.0,1963,1899,1,1851,1901,1,0
1,strzal,2025-10-05 02:30:25.003,1.034,-7.424,6.874,-0.57,0.134,-0.346,-14.435,26.046,69.039,1.018,3.487,-0.306,4714.0,32760.0,1514.0,1968,1901,1,1850,1904,1,0
1,strzal,2025-10-05 02:30:25.114,2.037,-7.108,7.156,-1.03,0.247,-0.116,-14.435,26.046,69.039,0.682,2.424,6.497,-6239.0,19027.0,10052.0,1961,1903,1,1851,1904,1,0
1,strzal,2025-10-05 02:30:25.235,1.858,-7.956,5.969,-0.629,0.094,0.04,-14.435,26.046,69.039,-2.506,-0.414,6.676,-11419.0,-2344.0,1960.0,1963,1901,1,1855,1904,1,0
1,strzal,2025-10-05 02:30:25.355,2.5,-7.587,5.909,-0.57,0.261,-0.244,-14.435,26.046,69.039,-3.697,-1.088,4.967,-12585.0,-13990.0,-11950.0,1965,1902,1,1854,1901,1,0
1,strzal,2025-10-05 02:30:25.475,2.88,-7.355,6.548,0.153,-0.055,0.16,-14.435,26.046,69.039,-1.452,-0.971,1.833,-8430.0,-18767.0,-21686.0,1967,1899,1,1853,1903,1,0
1,strzal,2025-10-05 02:30:25.595,2.03,-8.207,6.563,0.4,-0.071,0.358,-14.435,26.046,69.039,-3.867,-0.707,-1.543,-14916.0,-10147.0,-19398.0,1958,1902,1,1851,1900,1,0
1,strzal,2025-10-05 02:30:25.715,1.24,-7.556,6.57,0.128,0.028,-0.002,-14.435,26.046,69.039,-0.524,0.351,-2.078,-6311.0,-2632.0,-17975.0,1968,1901,1,1849,1904,1,0
1,strzal,2025-10-05 02:30:25.835,0.9,-9.122,6.859,-0.157,-0.071,0.105,-14.435,26.046,69.039,-0.04,0.549,-1.479,4181.0,-5644.0,-16756.0,1964,1898,1,1852,1902,1,0
1,strzal,2025-10-05 02:30:25.955,0.654,-7.338,6.807,0.031,-0.008,0.079,-14.435,26.046,69.039,-0.571,0.442,-0.136,6444.0,-4354.0,-11333.0,1964,1902,1,1849,1903,1,0
1,strzal,2025-10-05 02:30:26.075,0.857,-7.147,7.113,-0.306,0.142,0.035,-14.435,26.046,69.039,-0.808,-0.613,1.22,8969.0,-4295.0,-14772.0,1967,1901,1,1843,1904,1,0
1,strzal,2025-10-05 02:30:26.195,0.709,-8.03,6.967,-0.408,0.09,0.062,-14.435,26.046,69.039,0.188,-0.001,0.617,5471.0,-2604.0,-17987.0,1979,1901,1,1843,1899,1,0
1,strzal,2025-10-05 02:30:26.315,0.673,-7.803,6.855,-0.328,0.062,-0.038,-14.435,26.046,69.039,-0.034,0.666,0.468,2396.0,-4868.0,-14532.0,1984,1903,1,1850,1904,1,0
1,strzal,2025-10-05 02:30:26.435,0.934,-7.774,6.84,-0.11,0.246,-0.07,-14.435,26.046,69.039,0.045,-0.038,0.009,2262.0,-3986.0,-14968.0,1963,1898,1,1840,1897,1,0
1,strzal,2025-10-05 02:30:26.555,0.879,-7.695,7.702,-0.144,0.112,-0.009,-14.435,26.046,69.039,0.107,0.021,0.095,2021.0,-4034.0,-15544.0,1956,1899,1,1847,1918,1,0
1,strzal,2025-10-05 02:30:26.675,0.709,-7.762,7.238,-0.168,0.056,-0.062,-14.435,26.046,69.039,-0.003,0.132,0.006,2365.0,-4255.0,-15354.0,1967,1901,1,1854,1906,1,0
