Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,udarzenia,2025-10-05 02:20:23.487,3.62,-7.633,6.397,-0.083,0.198,-0.038,-14.435,26.046,69.039,-0.182,0.089,0.035,7923.0,-10836.0,-9488.0,1966,1904,1,1846,1904,1,0
1,udarzenia,2025-10-05 02:20:23.607,3.46,-6.642,6.692,-0.346,0.102,0.009,-14.435,26.046,69.039,0.015,0.097,0.057,8665.0,-9351.0,-9289.0,1968,1899,1,1846,1920,1,0
1,udarzenia,2025-10-05 02:20:23.717,3.428,-7.523,7.104,-0.012,0.165,0.062,-14.435,26.046,69.039,-0.103,-0.013,0.085,8425.0,-10573.0,-9107.0,1962,1901,1,1843,1904,1,0
1,udarzenia,2025-10-05 02:20:23.835,3.263,-6.936,6.97,-0.116,0.105,0.056,-14.435,26.046,69.039,-0.021,0.031,0.01,8449.0,-9608.0,-9759.0,1967,1904,1,1846,1904,1,0
1,udarzenia,2025-10-05 02:20:23.947,3.165,-7.075,6.709,-0.24,0.168,0.23,-14.435,26.046,69.039,0.291,0.098,0.055,8513.0,-9500.0,-9282.0,1966,1904,1,1765,1902,1,0
1,udarzenia,2025-10-05 02:20:24.057,1.97,-7.312,6.917,-0.081,0.03,0.321,-14.435,26.046,69.039,0.373,-0.181,-0.032,9114.0,-10363.0,-8018.0,1964,1899,1,1849,1903,1,0
1,udarzenia,2025-10-05 02:20:24.177,0.812,-8.717,9.282,0.765,0.02,0.358,-14.435,26.046,69.039,0.624,-0.411,-0.006,9189.0,-11187.0,-10405.0,1957,1904,1,1843,1903,1,0
1,udarzenia,2025-10-05 02:20:24.297,0.575,-8.655,11.961,1.009,-2.061,0.355,-14.435,26.046,69.039,-1.18,-0.191,0.978,4938.0,-4389.0,-19905.0,1959,1903,1,1846,1904,1,0
1,udarzenia,2025-10-05 02:20:24.417,2.983,-6.737,6.076,1.627,-3.004,0.447,-14.435,26.046,69.039,-2.379,-0.569,2.311,16235.0,-8235.0,-17864.0,1963,1899,1,1846,1902,1,0
1,udarzenia,2025-10-05 02:20:24.537,6.919,-5.406,2.066,1.984,-2.294,0.519,-14.435,26.046,69.039,-2.696,-0.948,2.387,9168.0,-21509.0,-17179.0,1966,1903,1,1846,1904,1,0
1,udarzenia,2025-10-05 02:20:24.657,10.463,-3.27,2.169,-0.061,-0.842,0.07,-14.435,26.046,69.039,-0.726,0.915,0.917,-16481.0,-14861.0,-1517.0,1965,1899,1,1850,1903,1,0
1,udarzenia,2025-10-05 02:20:24.777,9.026,-2.16,5.827,0.06,0.485,-0.362,-14.435,26.046,69.039,-3.367,-1.454,-2.549,-8610.0,-17384.0,-9460.0,1964,1902,1,1846,1902,1,0
1,udarzenia,2025-10-05 02:20:24.897,8.145,-2.892,6.45,-0.201,0.36,-0.227,-14.435,26.046,69.039,-0.918,0.509,-5.995,-21826.0,3742.0,-577.0,1961,1899,1,1842,1903,1,0
1,udarzenia,2025-10-05 02:20:25.017,7.159,-3.761,5.904,-0.134,0.439,-0.262,-14.435,26.046,69.039,-1.759,-2.177,-4.312,-24479.0,9022.0,-13938.0,1962,1904,1,1847,1899,1,0
1,udarzenia,2025-10-05 02:20:25.137,6.397,-2.94,7.788,-0.211,0.512,-0.416,-14.435,26.046,69.039,-1.038,0.033,-2.672,-21611.0,10000.0,-13168.0,1963,1901,1,1846,1902,1,0
1,udarzenia,2025-10-05 02:20:25.257,7.87,-0.936,7.604,-1.355,0.246,-0.508,-14.435,26.046,69.039,-0.009,0.123,-0.723,-13612.0,8511.0,-15235.0,1960,1899,1,1826,1902,1,0
1,udarzenia,2025-10-05 02:20:25.375,7.374,-2.504,6.155,-2.164,0.432,-0.106,-14.435,26.046,69.039,0.54,1.537,1.243,-9199.0,104.0,-15313.0,1964,1904,1,1849,1897,1,0
1,udarzenia,2025-10-05 02:20:25.487,7.149,-3.232,5.789,-1.187,0.054,0.343,-14.435,26.046,69.039,2.175,2.846,1.087,-3046.0,-5869.0,-13536.0,1962,1901,1,1848,1901,1,0
1,udarzenia,2025-10-05 02:20:25.605,5.935,-5.337,5.227,-1.368,0.982,0.531,-14.435,26.046,69.039,1.273,2.53,0.885,3792.0,-4026.0,-12604.0,1967,1899,1,1845,1899,1,0
1,udarzenia,2025-10-05 02:20:25.715,5.969,-8.179,7.096,-1.266,0.728,0.439,-14.435,26.046,69.039,1.272,2.196,1.348,4767.0,-6603.0,-11045.0,1967,1899,1,1840,1899,1,0
1,udarzenia,2025-10-05 02:20:25.827,4.82,-7.408,7.005,-0.706,0.721,0.78,-14.435,26.046,69.039,1.071,1.797,1.088,8498.0,-10601.0,-11731.0,1962,1902,1,1849,1904,1,0
