Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
2,Strzal,2025-10-05 02:40:56.145,3.601,-10.693,-0.615,-0.203,-0.199,0.181,-0.314,1.334,9.65,-0.073,-0.239,-0.726,19475.0,-11309.0,-5862.0,1964,1904,1,1845,1904,1,0
2,Strzal,2025-10-05 02:40:56.264,6.565,-9.333,0.713,0.332,-0.456,0.027,-0.078,1.294,9.689,-1.813,-2.53,-3.069,17397.0,1515.0,-4142.0,1963,1897,1,1843,1911,1,0
2,Strzal,2025-10-05 02:40:56.375,4.037,-7.286,3.587,1.019,-0.956,0.73,-0.628,2.628,9.964,-1.909,-4.429,-4.184,750.0,11631.0,-11449.0,1962,1894,1,1845,1908,1,0
2,Strzal,2025-10-05 02:40:56.485,-0.757,-10.156,3.014,0.27,-0.529,0.528,0.588,2.667,8.904,-1.647,-0.365,-1.885,-2613.0,14172.0,-13087.0,1968,1893,1,1843,1872,1,0
2,Strzal,2025-10-05 02:40:56.604,0.536,-11.866,1.089,-0.994,-0.141,0.153,0.902,1.373,8.551,2.277,2.013,1.422,-8159.0,19458.0,-7401.0,1964,1893,1,1843,1911,1,0
2,Strzal,2025-10-05 02:40:56.714,0.306,-11.727,0.543,-1.34,0.363,-0.01,0.628,1.177,9.689,3.641,3.147,2.145,357.0,15278.0,-3293.0,1967,1897,1,1846,1909,1,0
2,Strzal,2025-10-05 02:40:56.824,0.912,-9.313,1.269,-0.862,0.204,-0.329,1.177,1.491,8.591,4.178,1.762,2.286,7410.0,8059.0,4262.0,1973,1898,1,1841,1911,1,0
2,Strzal,2025-10-05 02:40:56.934,2.049,-9.874,-0.043,-0.772,0.093,-0.24,1.765,1.491,9.257,0.844,2.495,4.374,-3139.0,3870.0,2092.0,1962,1901,1,1840,1915,1,0
2,Strzal,2025-10-05 02:40:57.044,2.49,-8.188,-1.125,-0.768,0.081,0.098,2.157,2.236,8.904,1.906,-0.47,5.089,-12901.0,-15652.0,-405.0,1967,1902,1,1847,1908,1,0
2,Strzal,2025-10-05 02:40:57.155,7.884,-4.683,4.666,0.567,-0.828,0.524,2.667,1.922,9.65,1.539,-0.543,1.253,2072.0,-32680.0,-23701.0,1964,1894,1,1840,1902,1,0
2,Strzal,2025-10-05 02:40:57.264,1.02,-12.675,-3.852,-0.6,0.396,-0.07,3.217,0.353,9.297,-0.65,-1.173,0.367,-3580.0,-25745.0,-6385.0,1966,1897,1,1851,1909,1,0
2,Strzal,2025-10-05 02:40:57.384,3.869,-10.465,1.623,0.033,-0.131,-0.018,3.687,1.138,9.728,-1.228,-0.488,-0.034,-4733.0,-16369.0,-1467.0,1968,1897,1,1845,1908,1,0
2,Strzal,2025-10-05 02:40:57.505,2.504,-10.523,1.911,0.706,-0.184,0.036,2.432,2.001,8.748,1.202,0.405,-1.119,-4889.0,-19161.0,2721.0,1966,1899,1,1841,1911,1,0
2,Strzal,2025-10-05 02:40:57.614,2.222,-11.346,1.939,0.264,-0.196,-0.072,1.53,3.413,9.257,-1.088,-1.006,0.308,-8625.0,-19712.0,430.0,1966,1891,1,1840,1907,1,0
2,Strzal,2025-10-05 02:40:57.722,1.197,-11.928,0.601,-0.031,-0.735,-0.054,1.255,3.02,9.532,-1.205,0.307,1.094,4146.0,-13014.0,-4268.0,1966,1898,1,1850,1904,1,0
2,Strzal,2025-10-05 02:40:57.832,1.135,-9.656,-0.967,-0.178,-0.187,-0.104,0.118,2.432,8.865,-1.118,1.198,1.51,4096.0,-14658.0,-1306.0,1965,1895,1,1841,1914,1,0
2,Strzal,2025-10-05 02:40:57.944,0.958,-10.017,-1.262,-0.177,-0.647,-0.16,1.059,1.569,8.708,-0.729,0.484,0.959,5283.0,-15474.0,-7224.0,1965,1891,1,1842,1904,1,0
2,Strzal,2025-10-05 02:40:58.065,1.587,-10.068,0.443,0.579,0.001,-0.295,1.216,1.138,8.512,1.492,1.769,0.891,4536.0,-4226.0,-11936.0,1955,1895,1,1847,1924,1,0
