Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
2,syf,2025-10-05 02:42:38.185,4.005,-12.354,6.235,0.324,-0.765,-1.278,-0.275,0.078,9.924,-0.469,-0.443,2.02,-4608.0,-12449.0,-7053.0,1961,1904,1,1853,1911,1,0
2,syf,2025-10-05 02:42:38.305,3.361,-9.871,4.769,0.599,-2.067,-2.173,-0.039,0.0,8.826,-0.383,-0.176,1.732,-7263.0,-16415.0,-7176.0,1967,1895,1,1847,1907,1,0
2,syf,2025-10-05 02:42:38.425,3.785,-4.465,1.891,0.495,-1.711,-0.741,1.138,-0.078,9.022,-0.178,-0.013,1.764,-6909.0,-16690.0,-8742.0,1961,1894,1,1840,1929,1,0
2,syf,2025-10-05 02:42:38.545,2.624,-5.059,1.041,0.547,-0.284,0.738,2.157,0.588,10.63,0.603,0.741,0.772,-5674.0,-22303.0,-10263.0,1963,1893,1,1840,1913,1,0
2,syf,2025-10-05 02:42:38.655,1.391,-7.286,1.982,0.533,0.972,1.727,1.373,0.745,10.003,0.717,1.499,-1.107,-4230.0,-23682.0,-8868.0,1967,1899,1,1843,1905,1,0
2,syf,2025-10-05 02:42:38.765,2.919,-10.851,3.572,-0.065,1.125,1.837,0.392,0.039,8.708,0.491,0.852,-2.697,-1082.0,-16334.0,-3120.0,1968,1891,1,1846,1910,1,0
2,syf,2025-10-05 02:42:38.875,3.63,-12.696,4.19,-0.624,1.443,0.974,0.353,0.314,8.983,-0.428,-0.047,-2.513,1664.0,-9113.0,-1045.0,1965,1893,1,1842,1910,1,0
2,syf,2025-10-05 02:42:38.985,5.229,-12.388,7.35,-0.642,0.826,-0.524,-0.196,1.255,10.395,0.28,-0.223,-0.667,1502.0,-5577.0,-2273.0,1963,1899,1,1846,1905,1,0
2,syf,2025-10-05 02:42:39.103,3.0,-9.622,6.055,-0.67,-0.343,-1.136,-0.471,0.981,8.944,0.472,-0.713,0.678,-306.0,-14080.0,-5432.0,1967,1895,1,1845,1907,1,0
2,syf,2025-10-05 02:42:39.215,2.823,-8.121,3.251,-0.527,-0.027,-1.329,-0.196,0.588,8.826,0.702,-0.425,1.105,940.0,-15906.0,-6245.0,1965,1897,1,1847,1904,1,0
2,syf,2025-10-05 02:42:39.325,2.957,-7.309,2.559,-0.241,-0.069,-1.035,1.334,0.745,9.218,0.393,-0.425,0.887,3022.0,-18523.0,-5756.0,1965,1895,1,1843,1908,1,0
2,syf,2025-10-05 02:42:39.433,2.2,-8.102,3.22,-0.062,0.013,-0.215,1.726,0.981,10.983,0.16,-0.255,-0.289,5799.0,-21391.0,-7245.0,1965,1897,1,1846,1907,1,0
2,syf,2025-10-05 02:42:39.545,2.172,-8.571,2.983,-0.392,0.583,0.72,1.138,0.549,9.375,-0.379,-0.413,-1.669,5302.0,-16290.0,-5956.0,1963,1892,1,1851,1906,1,0
2,syf,2025-10-05 02:42:39.655,3.383,-9.953,2.883,-0.602,0.699,1.043,0.588,-0.078,8.865,-0.769,-0.066,-1.401,5947.0,-8062.0,-5010.0,1963,1883,1,1847,1907,1,0
2,syf,2025-10-05 02:42:39.765,5.27,-10.333,4.492,0.173,0.709,0.274,-0.667,0.981,9.454,-0.656,0.01,-0.451,2158.0,-12930.0,-5446.0,1987,1898,1,1842,1905,1,0
2,syf,2025-10-05 02:42:39.875,5.025,-10.827,6.12,0.742,-0.043,-0.479,-0.078,1.216,10.905,0.059,-0.001,0.586,-1962.0,-11087.0,-4929.0,1966,1895,1,1840,1907,1,0
2,syf,2025-10-05 02:42:39.995,3.773,-9.055,4.484,1.003,0.086,-0.336,-0.392,0.431,8.983,-0.395,-1.042,1.959,-1528.0,-8814.0,-7186.0,1958,1892,1,1843,1915,1,0
2,syf,2025-10-05 02:42:40.105,2.437,-7.654,3.651,0.362,0.078,-0.243,0.275,0.078,9.101,-0.418,-0.585,2.702,-3586.0,-10562.0,-6583.0,1961,1901,1,1845,1907,1,0
2,syf,2025-10-05 02:42:40.215,0.781,-5.1,4.693,-0.189,0.74,0.762,1.451,0.353,10.042,0.248,-0.079,2.055,-3623.0,-18238.0,-8146.0,1967,1898,1,1841,1907,1,0
2,syf,2025-10-05 02:42:40.325,-1.322,-5.684,6.371,0.372,1.113,1.523,1.177,0.824,9.532,0.133,0.461,1.29,-6432.0,-14648.0,-9197.0,1965,1895,1,1841,1872,1,0
2,syf,2025-10-05 02:42:40.433,-2.016,-7.087,7.101,-0.334,1.11,2.564,0.863,0.275,9.375,-0.958,-0.013,1.654,-10060.0,-6556.0,-6841.0,1966,1898,1,1840,1910,1,0
2,syf,2025-10-05 02:42:40.545,-5.231,-7.041,7.53,-0.847,0.607,4.366,0.235,0.667,9.218,0.029,0.601,3.346,-19612.0,-7865.0,-6025.0,1963,1899,1,1841,1910,1,0
