Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
3,Kucania,2025-10-05 02:49:41.607,3.333,-8.018,5.456,-0.211,0.094,0.018,12.239,40.482,64.332,-0.007,-0.035,0.059,-4315.0,-10022.0,-11370.0,1965,1899,1,1840,1908,1,0
3,Kucania,2025-10-05 02:49:41.727,3.488,-7.97,5.454,-0.227,0.07,0.101,12.239,40.482,64.332,0.002,-0.022,0.135,-4262.0,-9674.0,-11385.0,1966,1898,1,1843,1909,1,0
3,Kucania,2025-10-05 02:49:41.847,3.297,-7.863,4.872,-0.303,0.059,0.144,12.239,40.482,64.332,-0.012,-0.1,0.172,-3947.0,-8864.0,-10147.0,1968,1893,1,1841,1906,1,0
3,Kucania,2025-10-05 02:49:41.966,2.38,-4.436,3.587,-0.288,0.4,-0.063,12.239,40.482,64.332,0.287,-0.083,0.026,-2243.0,-5802.0,-7003.0,1962,1893,1,1842,1911,1,0
3,Kucania,2025-10-05 02:49:42.085,1.956,-4.377,2.835,-0.263,0.362,0.225,12.239,40.482,64.332,0.367,-0.23,0.163,-3085.0,-5572.0,-4270.0,1961,1894,1,1842,1904,1,0
3,Kucania,2025-10-05 02:49:42.197,4.07,-14.588,8.918,0.766,0.332,-0.282,12.239,40.482,64.332,-2.522,-0.546,0.105,-9893.0,-13889.0,-18501.0,1964,1895,1,1838,1907,1,0
3,Kucania,2025-10-05 02:49:42.317,3.347,-14.497,11.123,-0.247,0.112,-0.463,12.239,40.482,64.332,0.07,-0.367,-0.259,-12062.0,-14921.0,-24797.0,1964,1898,1,1840,1906,1,0
3,Kucania,2025-10-05 02:49:42.437,3.622,-10.372,7.137,-1.016,-0.5,0.299,12.239,40.482,64.332,0.175,-0.024,-0.174,-7621.0,-8857.0,-14016.0,1963,1897,1,1842,1905,1,0
3,Kucania,2025-10-05 02:49:42.557,3.172,-9.287,5.26,0.026,0.144,-0.21,12.239,40.482,64.332,1.179,0.062,-0.262,-5373.0,-8580.0,-13579.0,1963,1893,1,1839,1907,1,0
3,Kucania,2025-10-05 02:49:42.677,2.567,-3.812,3.874,-0.361,-0.956,-0.212,12.239,40.482,64.332,1.612,0.526,-0.298,-2165.0,-5189.0,-6794.0,1963,1895,1,1843,1907,1,0
3,Kucania,2025-10-05 02:49:42.797,2.045,-5.921,2.497,0.337,-0.367,-0.465,12.239,40.482,64.332,0.326,0.595,-0.532,-2900.0,-6092.0,-7370.0,1968,1893,1,1840,1888,1,0
3,Kucania,2025-10-05 02:49:42.917,4.18,-11.451,3.306,-0.393,-0.618,0.129,12.239,40.482,64.332,-0.568,0.578,-0.037,-4631.0,-17131.0,-9922.0,1963,1898,1,1846,1907,1,0
