Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
5,Jumping,2025-10-05 03:09:58.757,-6.328,-7.156,0.366,-0.151,-0.04,-0.018,-1.412,-0.628,3.02,-0.198,-0.023,0.046,-16096.0,1790.0,3410.0,1963,1895,1,1843,1911,1,0
5,Jumping,2025-10-05 03:09:58.877,-5.698,-6.404,0.397,-0.19,-0.143,-0.213,-1.412,-0.628,3.02,-0.057,-0.015,-0.064,-14697.0,1642.0,2646.0,1962,1889,1,1920,1906,1,0
5,Jumping,2025-10-05 03:09:58.997,-1.805,-5.145,1.724,0.125,-1.03,-1.231,-1.412,-0.628,3.02,1.213,0.264,-1.137,-8109.0,-996.0,694.0,1966,1901,1,1842,1905,1,0
5,Jumping,2025-10-05 03:09:59.107,-9.61,-12.471,1.518,0.04,-1.196,-0.455,-1.412,-0.628,3.02,1.532,0.959,-1.307,-32005.0,-3480.0,3468.0,1968,1891,1,1841,1906,1,0
5,Jumping,2025-10-05 03:09:59.227,-20.815,-26.612,4.245,-0.07,0.577,-3.22,-1.412,-0.628,3.02,-2.733,-0.557,0.044,-32760.0,3783.0,3245.0,1963,1896,1,1842,1912,1,0
5,Jumping,2025-10-05 03:09:59.345,10.388,3.847,-2.612,-1.009,-0.013,1.394,-1.412,-0.628,3.02,0.07,-0.137,-0.556,20603.0,-777.0,5736.0,1964,1894,1,1842,1904,1,0
5,Jumping,2025-10-05 03:09:59.457,-2.794,-2.981,-1.331,0.262,-0.431,1.945,-1.412,-0.628,3.02,-0.682,1.068,1.269,-1734.0,3977.0,4561.0,1963,1889,1,1840,1908,1,0
5,Jumping,2025-10-05 03:09:59.567,0.486,-1.575,2.006,-0.761,-0.173,0.496,-1.412,-0.628,3.02,0.723,-0.506,-0.115,-3358.0,-3130.0,-4293.0,1955,1901,1,1841,1906,1,0
5,Jumping,2025-10-05 03:09:59.685,-2.1,-6.34,2.234,0.225,-0.05,0.051,-1.412,-0.628,3.02,-0.634,2.053,-1.449,-7281.0,-3727.0,-324.0,2006,1895,1,4095,4095,1,0
5,Jumping,2025-10-05 03:09:59.797,-13.997,-17.964,4.063,-1.45,-4.172,-2.281,-1.412,-0.628,3.02,1.41,1.731,-1.015,-32760.0,2815.0,1242.0,1961,1898,1,1840,1909,1,0
5,Jumping,2025-10-05 03:09:59.917,-7.846,-11.744,2.112,-0.69,-0.056,-0.099,-1.412,-0.628,3.02,-0.646,-0.378,0.952,-26749.0,-8148.0,1727.0,1959,1897,1,1856,1925,1,0
5,Jumping,2025-10-05 03:10:00.037,-7.697,-8.356,4.551,0.775,0.336,0.208,-1.412,-0.628,3.02,-0.762,-0.649,1.106,-17786.0,-1641.0,-2295.0,2002,1894,1,1842,1921,1,0
5,Jumping,2025-10-05 03:10:00.156,-3.208,-6.507,0.95,0.163,1.004,0.64,-1.412,-0.628,3.02,0.346,-1.185,0.249,-9682.0,179.0,-676.0,2002,1899,1,4095,4095,1,0
5,Jumping,2025-10-05 03:10:00.267,-4.858,-6.093,1.551,-0.033,-0.081,-0.523,-1.412,-0.628,3.02,-0.246,0.132,-0.254,-12607.0,-475.0,863.0,1959,1893,1,1841,1911,1,0
5,Jumping,2025-10-05 03:10:00.387,-6.742,-5.938,-0.505,0.14,0.366,-0.308,-1.412,-0.628,3.02,-0.507,-0.131,-0.064,-15511.0,1172.0,310.0,1963,1893,1,1842,1914,1,0
5,Jumping,2025-10-05 03:10:00.507,-5.198,-5.974,2.993,0.662,1.03,0.247,-1.412,-0.628,3.02,-0.183,-0.236,0.63,-15420.0,-550.0,450.0,1962,1897,1,1854,1925,1,0
