Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
5,Udarzenia_l,2025-10-05 03:15:26.529,5.995,-6.883,-4.401,-0.041,-0.019,-0.17,-1.412,-0.628,3.02,-0.099,-0.14,-0.038,-837.0,-16006.0,1498.0,1957,1899,1,1839,1913,1,0
5,Udarzenia_l,2025-10-05 03:15:26.649,6.361,-6.563,-4.683,-0.086,0.138,-0.093,-1.412,-0.628,3.02,-0.114,-0.211,-0.021,-1103.0,-15920.0,1282.0,1963,1899,1,1849,1911,1,0
5,Udarzenia_l,2025-10-05 03:15:26.769,6.055,-6.416,-4.266,-0.278,-0.12,-0.125,-1.412,-0.628,3.02,-0.088,-0.176,-0.064,-1017.0,-16056.0,2234.0,1963,1895,1,1842,1905,1,0
5,Udarzenia_l,2025-10-05 03:15:26.889,12.093,-23.882,-11.258,-1.811,-0.562,-2.975,-1.412,-0.628,3.02,-0.432,0.142,-0.332,-2254.0,-16879.0,607.0,1968,1895,1,1845,1904,1,0
5,Udarzenia_l,2025-10-05 03:15:27.007,13.226,11.866,-2.179,4.366,4.366,-1.731,-1.412,-0.628,3.02,0.922,0.244,-0.11,2087.0,-12778.0,2166.0,1968,1895,1,1841,1909,1,0
5,Udarzenia_l,2025-10-05 03:15:27.116,-3.582,21.596,7.803,-3.5,4.366,4.366,-1.412,-0.628,3.02,0.666,-0.206,-0.139,2959.0,-15637.0,2615.0,1967,1891,1,1840,1911,1,0
5,Udarzenia_l,2025-10-05 03:15:27.229,-3.654,-29.652,-9.122,4.221,-4.068,4.366,-1.412,-0.628,3.02,-0.511,0.093,-0.711,-4537.0,-19914.0,2845.0,1967,1893,1,1843,1904,1,0
5,Udarzenia_l,2025-10-05 03:15:27.348,-7.7,-1.587,3.168,2.58,0.885,-2.904,-1.412,-0.628,3.02,-0.06,0.321,0.408,3129.0,-14212.0,198.0,1965,1893,1,1846,1904,1,0
5,Udarzenia_l,2025-10-05 03:15:27.459,-4.571,-4.951,7.846,-1.774,-0.102,-3.032,-1.412,-0.628,3.02,-0.323,0.513,-0.254,2626.0,-17740.0,4707.0,1967,1895,1,1841,1909,1,0
5,Udarzenia_l,2025-10-05 03:15:27.577,2.1,-4.235,8.741,-2.888,-0.866,-2.267,-1.412,-0.628,3.02,-0.45,0.048,0.059,1902.0,-15422.0,3437.0,1965,1895,1,1840,1909,1,0
5,Udarzenia_l,2025-10-05 03:15:27.686,5.914,-7.072,8.066,-3.928,-2.895,-1.564,-1.412,-0.628,3.02,-0.188,0.105,0.05,2390.0,-15319.0,3416.0,1962,1897,1,1840,1906,1,0
5,Udarzenia_l,2025-10-05 03:15:27.798,6.732,-8.619,1.985,-2.546,-3.072,-0.85,-1.412,-0.628,3.02,-0.159,-0.261,0.254,2611.0,-14169.0,3609.0,1959,1893,1,1837,1909,1,0
5,Udarzenia_l,2025-10-05 03:15:27.917,9.175,-7.219,-3.146,-2.741,-2.051,-1.701,-1.412,-0.628,3.02,0.139,-0.786,0.495,527.0,-15101.0,2464.0,1968,1895,1,1840,1907,1,0
5,Udarzenia_l,2025-10-05 03:15:28.028,3.378,-8.523,-3.922,-1.882,-0.664,0.489,-1.412,-0.628,3.02,-0.17,-0.421,0.338,-1332.0,-15971.0,2819.0,1967,1898,1,1840,1906,1,0
