Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
8,Udarzenia,2025-10-05 04:01:29.508,8.645,-5.497,0.891,-0.173,0.051,0.019,7.885,-2.275,18.75,-0.082,-0.012,0.059,8975.0,-14111.0,-4167.0,1954,1898,1,1840,1905,1,0
8,Udarzenia,2025-10-05 04:01:29.619,8.456,-6.144,1.152,-0.141,-0.016,-0.097,7.885,-2.275,18.75,-1.292,0.329,-0.485,14014.0,-15931.0,-7412.0,1954,1891,1,1843,1915,1,0
8,Udarzenia,2025-10-05 04:01:29.739,7.966,-6.155,0.022,0.052,-0.209,-0.006,7.845,-2.707,19.143,-3.212,-1.197,-1.125,23938.0,-7438.0,-2168.0,1958,1897,1,1842,1913,1,0
8,Udarzenia,2025-10-05 04:01:29.858,8.66,-6.371,0.287,0.207,-0.346,-0.144,7.845,-2.707,19.143,-1.909,-2.539,1.261,15859.0,-712.0,-1715.0,1959,1891,1,1841,1912,1,0
8,Udarzenia,2025-10-05 04:01:29.967,8.751,-4.82,0.565,0.223,-0.638,-0.206,7.845,-2.707,19.143,-0.867,-1.22,1.771,-7457.0,-507.0,-3436.0,1958,1891,1,1840,1910,1,0
8,Udarzenia,2025-10-05 04:01:30.080,9.345,-5.131,-0.218,0.246,-0.386,-0.082,8.551,-2.942,18.986,0.106,-0.778,2.047,-17629.0,-7466.0,-21558.0,1954,1892,1,1835,1906,1,0
8,Udarzenia,2025-10-05 04:01:30.197,9.68,-3.639,0.488,0.005,0.02,0.101,8.551,-2.942,18.986,-0.105,0.305,-1.034,-9757.0,-3316.0,-21509.0,1963,1897,1,1841,1910,1,0
8,Udarzenia,2025-10-05 04:01:30.310,9.969,-5.452,-0.867,-0.357,0.323,-0.171,9.336,-2.746,18.554,2.5,1.861,-2.75,-14260.0,-5208.0,-15304.0,1956,1889,1,1821,1909,1,0
8,Udarzenia,2025-10-05 04:01:30.429,9.426,-4.334,-0.498,-0.69,0.533,-0.126,9.336,-2.746,18.554,3.315,1.331,-3.016,-2475.0,-6809.0,-6729.0,1957,1898,1,1842,1918,1,0
8,Udarzenia,2025-10-05 04:01:30.547,8.681,-5.088,0.084,-0.692,0.462,-0.165,8.198,-2.118,18.554,1.402,2.191,-1.046,12871.0,-2637.0,-2666.0,1951,1890,1,1843,1904,1,0
8,Udarzenia,2025-10-05 04:01:30.659,8.049,-5.363,0.225,-0.659,0.409,0.131,8.198,-2.118,18.554,0.806,1.29,0.85,21365.0,-11066.0,-1438.0,1959,1890,1,1845,1905,1,0
8,Udarzenia,2025-10-05 04:01:30.767,8.689,-5.612,0.625,-0.55,0.201,0.192,6.825,-1.648,20.045,-0.004,0.687,0.501,17653.0,-12850.0,-4280.0,1963,1901,1,1840,1917,1,0
