Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,Jumping,2025-10-05 02:16:56.924,4.049,-5.454,-2.954,-0.314,0.088,-0.189,0.078,-0.902,5.845,-0.1,-0.126,0.077,6756.0,-8018.0,4086.0,1962,1897,1,1841,1904,1,0
1,Jumping,2025-10-05 02:16:57.034,5.128,-6.328,-4.288,-0.702,0.231,-0.322,0.353,-1.02,8.434,-0.063,-0.112,0.017,9188.0,-11212.0,5332.0,1963,1894,1,1837,1904,1,0
1,Jumping,2025-10-05 02:16:57.144,11.6,-13.446,-9.567,-0.403,0.54,-0.496,0.196,-3.57,17.064,-0.254,-0.39,-0.491,17656.0,-24734.0,12275.0,1962,1895,1,1842,1904,1,0
1,Jumping,2025-10-05 02:16:57.264,13.896,-11.554,-6.213,0.203,1.424,0.038,-0.471,-7.571,24.517,0.349,-0.794,-0.678,22646.0,-23582.0,6767.0,1959,1910,1,1842,1904,1,0
1,Jumping,2025-10-05 02:16:57.384,3.759,-5.227,-1.24,-0.482,-1.027,-0.065,0.392,-0.039,-2.157,-0.249,0.771,0.648,8076.0,-5146.0,1904.0,1957,1895,1,1840,1904,1,0
1,Jumping,2025-10-05 02:16:57.494,-0.606,-0.127,1.063,-0.494,0.468,-0.377,0.0,0.118,-1.726,-0.305,-0.524,-0.47,-1055.0,2720.0,-600.0,1963,1892,1,1847,1903,1,0
1,Jumping,2025-10-05 02:16:57.604,-0.053,-0.254,-0.46,-0.03,-0.069,-0.284,0.039,0.039,0.981,0.162,0.017,-0.288,-513.0,-1459.0,1464.0,1963,1893,1,1840,1908,1,0
1,Jumping,2025-10-05 02:16:57.714,2.172,-2.734,-1.836,-0.294,0.338,-0.614,0.0,-0.431,-2.824,-0.191,-0.339,-0.817,1903.0,-2741.0,438.0,1966,1901,1,1839,1905,1,0
1,Jumping,2025-10-05 02:16:57.824,17.006,-9.287,-3.376,-0.841,0.606,0.079,-0.196,-10.12,25.301,-0.338,-0.016,-0.035,26808.0,-17428.0,93.0,1967,1898,1,1839,1909,1,0
1,Jumping,2025-10-05 02:16:57.944,13.072,-14.32,-9.603,0.229,-1.39,0.755,-0.824,-0.981,16.554,0.332,0.459,0.85,21318.0,-24222.0,4048.0,1968,1895,1,1839,1905,1,0
1,Jumping,2025-10-05 02:16:58.064,5.971,-4.934,-3.658,0.378,0.373,-0.601,0.118,-0.667,4.315,-0.09,0.094,-0.52,8505.0,-8961.0,2453.0,1962,1891,1,1840,1904,1,0
1,Jumping,2025-10-05 02:16:58.174,3.639,-1.774,-2.354,-0.136,0.737,-0.813,0.745,0.549,5.021,-0.462,-0.352,-0.835,5111.0,-3740.0,2207.0,1967,1898,1,1845,1911,1,0
1,Jumping,2025-10-05 02:16:58.284,6.833,-4.101,-3.33,-0.778,0.199,-0.15,-0.039,0.314,10.827,0.192,0.13,-0.101,13684.0,-8118.0,947.0,1962,1895,1,1839,1903,1,0
1,Jumping,2025-10-05 02:16:58.394,7.896,-7.549,-3.754,0.077,0.096,0.383,0.588,0.157,8.669,0.286,-0.152,0.092,14138.0,-13350.0,3150.0,1963,1897,1,1841,1905,1,0
1,Jumping,2025-10-05 02:16:58.504,7.068,-4.439,-1.98,0.111,0.047,0.109,0.118,0.314,10.042,0.035,-0.264,-0.212,11395.0,-8338.0,974.0,1966,1892,1,1840,1905,1,0
1,Jumping,2025-10-05 02:16:58.614,6.553,-4.168,-2.289,-0.145,-0.454,0.387,0.431,-0.078,7.806,0.209,0.225,0.142,9949.0,-7366.0,813.0,1966,1898,1,1842,1907,1,0
1,Jumping,2025-10-05 02:16:58.724,4.705,-3.402,-2.344,-0.382,-0.592,0.561,0.078,0.196,4.001,0.413,0.463,0.414,7918.0,-5591.0,2067.0,1958,1891,1,1842,1905,1,0
1,Jumping,2025-10-05 02:16:58.834,3.879,-2.787,-1.422,-0.429,-0.048,0.445,0.706,-1.059,4.236,0.047,0.002,0.481,6875.0,-4496.0,756.0,1965,1893,1,1840,1909,1,0
1,Jumping,2025-10-05 02:16:58.944,8.796,-9.577,-8.442,-0.916,-0.249,-0.027,-0.157,-6.002,16.946,0.332,0.402,0.383,14731.0,-15957.0,6120.0,1966,1902,1,1828,1904,1,0
1,Jumping,2025-10-05 02:16:59.064,13.479,-19.699,-18.687,-0.776,0.722,-0.634,-0.078,-5.688,22.83,-0.41,-0.574,-0.129,27650.0,-32760.0,10001.0,1963,1892,1,1840,1907,1,0
1,Jumping,2025-10-05 02:16:59.184,10.942,-12.601,-6.548,0.598,0.964,0.058,0.039,-11.65,16.867,0.98,0.404,-0.275,16907.0,-15998.0,6224.0,1965,1896,1,1842,1907,1,0
1,Jumping,2025-10-05 02:16:59.302,-2.296,-2.222,-0.417,0.751,0.096,-0.628,1.726,-0.628,-8.355,-0.631,0.261,-0.531,-4762.0,-1366.0,1537.0,1965,1891,1,1840,1908,1,0
1,Jumping,2025-10-05 02:16:59.414,-1.252,2.059,0.543,0.258,-0.461,-0.194,0.902,0.981,0.51,-0.77,0.375,0.392,-1523.0,-909.0,1036.0,1957,1895,1,1840,1911,1,0
