Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,Syf,2025-10-05 02:28:50.015,-8.03,-1.408,3.519,1.603,0.05,0.442,-14.435,26.046,69.039,0.671,-0.014,0.009,-17263.0,-1301.0,-4232.0,1968,1901,1,1849,1903,1,0
1,Syf,2025-10-05 02:28:50.134,-9.953,-1.463,3.512,-1.047,0.445,0.665,-14.435,26.046,69.039,0.418,0.108,-0.004,-16386.0,494.0,-3784.0,1966,1901,1,1846,1903,1,0
1,Syf,2025-10-05 02:28:50.254,-8.226,-2.011,3.51,-0.04,0.253,0.285,-14.435,26.046,69.039,0.488,0.012,0.654,-15329.0,-1225.0,-3265.0,1968,1898,1,1844,1904,1,0
1,Syf,2025-10-05 02:28:50.375,-9.232,-1.647,3.103,0.213,-0.138,-0.199,-14.435,26.046,69.039,1.566,0.046,0.631,-17520.0,-1591.0,-2663.0,1963,1904,1,1847,1904,1,0
1,Syf,2025-10-05 02:28:50.495,-9.428,-2.083,2.993,-0.04,-0.732,-0.685,-14.435,26.046,69.039,0.137,-0.184,0.355,-15737.0,-2889.0,-3879.0,1965,1903,1,1849,1902,1,0
1,Syf,2025-10-05 02:28:50.615,-9.543,-1.022,4.137,0.044,-0.339,-1.083,-14.435,26.046,69.039,-0.664,-0.077,-0.069,-17382.0,-2333.0,-6829.0,1963,1904,1,1847,1904,1,0
1,Syf,2025-10-05 02:28:50.735,-8.633,-3.089,7.132,-1.653,-0.599,-0.745,-14.435,26.046,69.039,-0.323,1.293,-0.983,-17871.0,-7784.0,-8357.0,1967,1901,1,1849,1903,1,0
1,Syf,2025-10-05 02:28:50.855,-8.739,-5.219,5.246,-2.939,-1.299,-1.259,-14.435,26.046,69.039,0.779,1.809,-2.117,-17773.0,-6095.0,-5775.0,1966,1903,1,1854,1904,1,0
1,Syf,2025-10-05 02:28:50.975,-5.895,-4.978,2.052,-3.132,-0.469,-0.639,-14.435,26.046,69.039,0.099,0.622,-2.031,-14328.0,-11465.0,-4428.0,1967,1904,1,1846,1904,1,0
1,Syf,2025-10-05 02:28:51.095,-6.048,-5.646,-0.362,-3.401,0.113,-0.154,-14.435,26.046,69.039,-0.646,-0.242,-3.162,-11284.0,-13507.0,-4905.0,1965,1902,1,1847,1904,1,0
1,Syf,2025-10-05 02:28:51.215,-6.263,-5.514,-2.476,-4.066,-0.017,-0.428,-14.435,26.046,69.039,-0.191,-1.076,-2.577,-8419.0,-9204.0,-5728.0,1968,1897,1,1847,1904,1,0
1,Syf,2025-10-05 02:28:51.335,-5.188,-4.377,-3.994,-2.535,-0.175,-0.129,-14.435,26.046,69.039,-0.758,-0.867,-1.593,-6063.0,-7944.0,-8466.0,1965,1902,1,1847,1903,1,0
1,Syf,2025-10-05 02:28:51.455,-5.737,-4.815,-5.624,-1.152,-0.296,0.044,-14.435,26.046,69.039,-0.338,-0.155,-0.481,-5463.0,-10018.0,-9205.0,1971,1898,1,1850,1904,1,0
1,Syf,2025-10-05 02:28:51.575,-5.844,-4.568,-5.83,0.093,-0.058,-0.035,-14.435,26.046,69.039,-1.326,0.707,0.174,-4285.0,-10746.0,-11440.0,1961,1898,1,1855,1903,1,0
1,Syf,2025-10-05 02:28:51.694,-5.811,-3.843,-6.1,0.024,-0.214,-0.066,-14.435,26.046,69.039,0.201,0.223,-0.221,-2115.0,-13086.0,-8882.0,1987,1903,1,1847,1904,1,0
1,Syf,2025-10-05 02:28:51.815,-6.12,-4.496,-6.096,0.268,-0.104,-0.136,-14.435,26.046,69.039,-0.23,-0.201,-0.58,-473.0,-10150.0,-9802.0,1970,1902,1,1841,1905,1,0
1,Syf,2025-10-05 02:28:51.935,-6.165,-5.128,-6.299,-0.311,0.036,-0.15,-14.435,26.046,69.039,-0.874,0.344,-0.088,-2252.0,-11876.0,-11414.0,1963,1904,1,1843,1906,1,0
1,Syf,2025-10-05 02:28:52.055,-5.959,-5.169,-6.215,-0.497,0.376,-0.236,-14.435,26.046,69.039,0.121,0.17,-0.067,-528.0,-11130.0,-11993.0,1968,1901,1,1851,1904,1,0
1,Syf,2025-10-05 02:28:52.174,-5.478,-4.817,-5.892,-0.385,0.433,-0.336,-14.435,26.046,69.039,0.401,-0.116,-0.407,834.0,-9841.0,-10903.0,1969,1902,1,1850,1900,1,0
1,Syf,2025-10-05 02:28:52.295,-4.815,-4.403,-6.989,-0.541,0.43,-0.452,-14.435,26.046,69.039,0.585,-0.389,-0.276,816.0,-12153.0,-10407.0,1967,1902,1,1851,1903,1,0
