Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,Strzal,2025-10-05 02:29:13.775,1.678,-10.001,-0.11,-0.122,0.062,-0.019,-14.435,26.046,69.039,-0.046,0.023,-0.046,497.0,-12904.0,-9019.0,1968,1904,1,1843,1902,1,0
1,Strzal,2025-10-05 02:29:13.895,1.702,-9.855,-0.084,-0.152,0.029,0.008,-14.435,26.046,69.039,-0.146,0.047,-0.021,425.0,-13009.0,-9736.0,1965,1901,1,1850,1909,1,0
1,Strzal,2025-10-05 02:29:14.015,1.669,-9.807,-0.218,-0.104,0.112,-0.004,-14.435,26.046,69.039,-0.611,1.29,-0.618,3188.0,-14665.0,-15379.0,1965,1903,1,1845,1907,1,0
1,Strzal,2025-10-05 02:29:14.135,1.24,-9.797,-0.309,0.034,0.162,-0.045,-14.435,26.046,69.039,-2.496,3.627,-4.229,6786.0,-16838.0,-7635.0,1966,1903,1,1851,1903,1,0
1,Strzal,2025-10-05 02:29:14.255,1.264,-10.678,0.215,-0.072,0.232,-0.013,-14.435,26.046,69.039,-1.959,3.742,-8.958,5134.0,-3621.0,-2207.0,1966,1904,1,1856,1910,1,0
1,Strzal,2025-10-05 02:29:14.375,1.571,-9.96,-0.242,-0.078,0.146,-0.021,-14.435,26.046,69.039,-0.675,2.935,-5.738,-4694.0,28056.0,-3744.0,1969,1901,1,1848,1904,1,0
1,Strzal,2025-10-05 02:29:14.495,0.567,-11.286,-0.242,-0.606,0.064,-0.272,-14.435,26.046,69.039,1.502,4.015,2.98,-12544.0,32760.0,7799.0,1965,1902,1,1841,1900,1,0
1,Strzal,2025-10-05 02:29:14.614,2.854,-8.708,1.556,-0.247,0.021,-0.019,-14.435,26.046,69.039,1.301,2.554,7.449,-12785.0,15693.0,8965.0,1967,1898,1,1840,1904,1,0
1,Strzal,2025-10-05 02:29:14.733,2.346,-9.412,0.017,-0.443,-0.163,0.24,-14.435,26.046,69.039,0.007,1.106,7.639,-12932.0,-272.0,9930.0,1968,1898,1,1849,1899,1,0
1,Strzal,2025-10-05 02:29:14.845,1.784,-10.307,-0.52,0.143,0.083,-0.046,-14.435,26.046,69.039,-3.46,-0.535,5.879,-12804.0,-15248.0,-404.0,1947,1901,1,1851,1904,1,0
1,Strzal,2025-10-05 02:29:14.965,2.768,-10.321,0.184,0.007,0.393,-0.215,-14.435,26.046,69.039,-3.168,-0.683,2.689,-7297.0,-18782.0,-16088.0,1957,1903,1,1850,1902,1,0
1,Strzal,2025-10-05 02:29:15.085,2.935,-9.689,0.596,-0.099,0.006,0.084,-14.435,26.046,69.039,-0.627,-0.209,1.484,-8242.0,-15099.0,-20451.0,1962,1898,1,1846,1904,1,0
1,Strzal,2025-10-05 02:29:15.205,2.308,-9.914,1.425,0.062,-0.257,0.034,-14.435,26.046,69.039,-1.316,-0.678,-0.525,-16197.0,-11264.0,-10703.0,1962,1902,1,1849,1905,1,0
1,Strzal,2025-10-05 02:29:15.325,1.427,-9.646,0.998,-0.019,-0.211,-0.074,-14.435,26.046,69.039,-0.26,-1.735,-1.42,-7539.0,-9627.0,-12565.0,1958,1903,1,1853,1900,1,0
1,Strzal,2025-10-05 02:29:15.445,0.601,-9.838,1.128,-0.276,-0.4,0.052,-14.435,26.046,69.039,0.029,-0.602,-0.834,-485.0,-11782.0,-11321.0,1961,1895,1,1852,1904,1,0
1,Strzal,2025-10-05 02:29:15.565,1.156,-9.033,-0.266,-0.183,-0.296,-0.083,-14.435,26.046,69.039,0.096,0.956,0.359,4526.0,-15398.0,-11416.0,1959,1893,1,1840,1901,1,0
1,Strzal,2025-10-05 02:29:15.684,0.912,-11.32,0.362,-0.219,-0.217,0.186,-14.435,26.046,69.039,0.473,1.508,0.252,2717.0,-14667.0,-9457.0,1964,1906,1,1840,1904,1,0
1,Strzal,2025-10-05 02:29:15.805,1.597,-9.61,0.843,-0.481,0.162,-0.039,-14.435,26.046,69.039,-0.13,0.382,0.311,2597.0,-10954.0,-10637.0,1965,1905,1,1851,1904,1,0
1,Strzal,2025-10-05 02:29:15.925,1.532,-10.19,0.864,-0.272,-0.001,0.178,-14.435,26.046,69.039,0.276,0.535,0.257,1229.0,-12249.0,-10738.0,1969,1904,1,1847,1903,1,0
1,Strzal,2025-10-05 02:29:16.045,1.159,-10.36,0.357,-0.107,0.07,0.019,-14.435,26.046,69.039,0.199,0.32,0.191,-531.0,-13802.0,-9924.0,1963,1904,1,1850,1901,1,0
1,Strzal,2025-10-05 02:29:16.165,1.257,-10.551,0.654,-0.148,0.139,-0.032,-14.435,26.046,69.039,0.004,0.143,0.001,-573.0,-12720.0,-9719.0,1958,1901,1,1847,1904,1,0
1,Strzal,2025-10-05 02:29:16.284,1.389,-9.718,1.01,-0.126,0.175,-0.079,-14.435,26.046,69.039,0.159,0.048,0.006,-495.0,-12497.0,-9314.0,1962,1907,1,1847,1903,1,0
