Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,Udarzenia,2025-10-05 02:20:42.447,7.961,-1.762,6.718,-0.348,0.033,-0.061,-14.435,26.046,69.039,-0.076,-0.002,0.081,14278.0,-2809.0,-7836.0,1968,1899,1,1849,1902,1,0
1,Udarzenia,2025-10-05 02:20:42.567,7.939,-1.604,7.207,-0.205,0.047,-0.018,-14.435,26.046,69.039,-0.107,-0.007,0.125,14293.0,-2608.0,-7656.0,1966,1901,1,1847,1907,1,0
1,Udarzenia,2025-10-05 02:20:42.687,8.138,-1.841,6.828,-0.199,0.099,-0.009,-14.435,26.046,69.039,0.012,-0.009,-0.019,14187.0,-2835.0,-8074.0,1937,1904,1,1845,1898,1,0
1,Udarzenia,2025-10-05 02:20:42.805,7.812,-1.614,6.766,-0.184,0.108,0.011,-14.435,26.046,69.039,0.006,0.068,0.031,13926.0,-2427.0,-7753.0,1968,1902,1,1845,1903,1,0
1,Udarzenia,2025-10-05 02:20:42.917,7.664,-1.786,7.168,-0.161,0.161,0.094,-14.435,26.046,69.039,-0.051,0.096,0.148,14433.0,-2944.0,-7588.0,1968,1902,1,1849,1910,1,0
1,Udarzenia,2025-10-05 02:20:43.037,7.527,-1.961,7.456,-0.082,0.021,0.129,-14.435,26.046,69.039,-0.059,0.022,0.16,14877.0,-2747.0,-7148.0,1968,1902,1,1846,1904,1,0
1,Udarzenia,2025-10-05 02:20:43.157,6.919,-2.011,8.009,0.166,-0.144,0.194,-14.435,26.046,69.039,0.226,-0.087,-0.147,14995.0,-3035.0,-6545.0,1967,1898,1,1845,1902,1,0
1,Udarzenia,2025-10-05 02:20:43.277,7.12,-2.09,8.703,0.5,-0.297,0.364,-14.435,26.046,69.039,-0.028,-0.341,-0.01,13693.0,715.0,-8898.0,1966,1903,1,1843,1904,1,0
1,Udarzenia,2025-10-05 02:20:43.397,8.966,-2.902,8.502,1.565,-0.988,0.418,-14.435,26.046,69.039,-1.006,-1.179,1.645,16433.0,4644.0,-13351.0,1967,1895,1,1850,1900,1,0
1,Udarzenia,2025-10-05 02:20:43.517,8.909,-2.382,1.645,0.946,-0.745,0.334,-14.435,26.046,69.039,-1.361,-1.616,1.817,29619.0,529.0,-11992.0,1967,1891,1,1850,1903,1,0
1,Udarzenia,2025-10-05 02:20:43.637,8.995,-1.231,2.974,0.868,0.227,0.37,-14.435,26.046,69.039,-1.495,-0.966,3.297,5408.0,23.0,-8712.0,1965,1904,1,1853,1901,1,0
1,Udarzenia,2025-10-05 02:20:43.747,9.084,0.675,4.93,0.6,-0.052,0.606,-14.435,26.046,69.039,-3.217,-1.23,3.885,-31314.0,-9936.0,-19510.0,1959,1899,1,1843,1903,1,0
1,Udarzenia,2025-10-05 02:20:43.867,11.811,-0.527,3.378,-0.722,0.196,0.131,-14.435,26.046,69.039,2.557,0.689,-2.674,-13383.0,-118.0,-17465.0,1964,1906,1,1847,1904,1,0
1,Udarzenia,2025-10-05 02:20:43.987,9.95,-0.802,3.728,-0.789,0.096,-0.616,-14.435,26.046,69.039,1.706,1.263,-4.492,-13606.0,-2478.0,-14801.0,1968,1902,1,1847,1900,1,0
1,Udarzenia,2025-10-05 02:20:44.107,9.11,-0.326,3.448,-1.616,0.302,-0.812,-14.435,26.046,69.039,0.742,1.271,-2.864,7918.0,2223.0,-12100.0,1954,1902,1,1850,1904,1,0
1,Udarzenia,2025-10-05 02:20:44.227,8.303,-1.638,4.005,-1.075,0.936,-0.611,-14.435,26.046,69.039,0.46,0.713,-1.257,15953.0,4207.0,-15625.0,1966,1903,1,1849,1901,1,0
1,Udarzenia,2025-10-05 02:20:44.347,8.387,-2.035,6.155,-1.536,0.865,-0.212,-14.435,26.046,69.039,0.024,1.38,0.29,15226.0,4553.0,-11604.0,1965,1901,1,1846,1901,1,0
1,Udarzenia,2025-10-05 02:20:44.467,8.562,-3.759,8.794,-0.699,0.431,-0.592,-14.435,26.046,69.039,-0.834,0.462,0.543,17369.0,-729.0,-9992.0,1967,1904,1,1847,1902,1,0
1,Udarzenia,2025-10-05 02:20:44.587,6.821,-1.757,8.468,-0.632,0.05,-0.601,-14.435,26.046,69.039,-0.743,-0.078,0.176,14086.0,-2095.0,-7360.0,1967,1899,1,1852,1901,1,0
1,Udarzenia,2025-10-05 02:20:44.705,6.464,-1.097,7.621,-0.118,0.092,-0.205,-14.435,26.046,69.039,0.17,0.112,-0.014,12762.0,-21.0,-7721.0,1963,1904,1,1846,1897,1,0
