Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
1,Udarzenia_lewa,2025-10-05 02:22:24.227,2.878,-9.357,3.639,-0.197,-0.152,-0.02,-14.435,26.046,69.039,0.028,-0.06,-0.03,4445.0,-14407.0,-3864.0,1963,1904,1,1845,1901,1,0
1,Udarzenia_lewa,2025-10-05 02:22:24.347,3.067,-9.467,3.484,-0.315,-0.242,-0.119,-14.435,26.046,69.039,0.001,0.048,0.019,4214.0,-15340.0,-4019.0,1936,1904,1,1846,1904,1,0
1,Udarzenia_lewa,2025-10-05 02:22:24.468,3.141,-9.038,3.067,-0.217,-0.063,-0.132,-14.435,26.046,69.039,0.011,0.061,-0.026,4343.0,-14241.0,-3932.0,1966,1899,1,1843,1887,1,0
1,Udarzenia_lewa,2025-10-05 02:22:24.585,3.189,-8.868,2.978,-0.55,0.098,0.053,-14.435,26.046,69.039,0.007,0.05,0.052,3709.0,-14368.0,-4292.0,1967,1898,1,1847,1899,1,0
1,Udarzenia_lewa,2025-10-05 02:22:24.695,3.584,-9.443,2.919,-0.184,0.056,0.098,-14.435,26.046,69.039,0.023,0.129,0.094,3488.0,-14757.0,-4100.0,1965,1899,1,1847,1890,1,0
1,Udarzenia_lewa,2025-10-05 02:22:24.808,4.231,-10.934,3.026,-0.09,0.14,-0.072,-14.435,26.046,69.039,-0.086,0.154,0.068,3375.0,-15438.0,-4531.0,1965,1899,1,1850,1903,1,0
1,Udarzenia_lewa,2025-10-05 02:22:24.927,7.173,-12.819,6.895,1.256,0.44,-0.828,-14.435,26.046,69.039,-0.075,0.554,-0.283,2985.0,-15706.0,-3991.0,1962,1904,1,1841,1895,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.047,9.766,-7.817,8.751,3.452,0.218,-1.967,-14.435,26.046,69.039,-0.209,0.808,-0.442,5285.0,-14936.0,-3324.0,1963,1901,1,1846,1889,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.167,15.62,2.938,9.531,4.366,1.249,0.081,-14.435,26.046,69.039,-0.158,0.87,-0.197,7905.0,-14174.0,-2500.0,1967,1846,1,1860,1902,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.287,-17.332,3.182,4.286,1.734,0.6,4.366,-14.435,26.046,69.039,-0.63,0.61,-0.375,8147.0,-12094.0,-3369.0,1962,1901,1,1842,1902,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.408,-1.154,-7.039,11.315,-2.711,0.513,-0.596,-14.435,26.046,69.039,-1.022,1.053,-0.007,7932.0,-14669.0,-4451.0,1904,1897,1,1847,1901,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.528,-2.962,-0.656,11.322,-2.892,-0.966,-2.46,-14.435,26.046,69.039,0.014,0.106,-0.036,11356.0,-11676.0,-1828.0,1965,1904,1,1853,1904,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.648,7.24,-0.883,6.871,-2.338,-0.346,-1.795,-14.435,26.046,69.039,-0.095,-0.716,-0.17,11852.0,-13316.0,-2134.0,1965,1901,1,1843,1901,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.767,9.874,-1.211,6.776,-1.517,-0.207,-0.349,-14.435,26.046,69.039,0.447,-0.92,-0.375,8666.0,-11554.0,-1561.0,1964,1899,1,1846,1904,1,0
1,Udarzenia_lewa,2025-10-05 02:22:25.887,7.934,-4.137,6.644,-1.141,-0.219,0.926,-14.435,26.046,69.039,0.095,-1.553,0.078,7450.0,-11946.0,-3646.0,1965,1901,1,1847,1903,1,0
1,Udarzenia_lewa,2025-10-05 02:22:26.007,5.99,-7.877,6.517,-0.146,0.211,1.466,-14.435,26.046,69.039,-0.201,-1.265,0.137,4830.0,-15104.0,-6176.0,1968,1895,1,1849,1902,1,0
1,Udarzenia_lewa,2025-10-05 02:22:26.127,5.938,-9.019,6.934,-0.439,-0.062,0.916,-14.435,26.046,69.039,0.173,-0.549,-0.106,4512.0,-13784.0,-7599.0,1963,1902,1,1845,1903,1,0
1,Udarzenia_lewa,2025-10-05 02:22:26.247,5.646,-8.406,6.318,-0.33,-0.211,0.287,-14.435,26.046,69.039,0.119,0.005,-0.098,4678.0,-13977.0,-7140.0,1962,1896,1,1846,1903,1,0
1,Udarzenia_lewa,2025-10-05 02:22:26.368,4.693,-8.353,5.701,-0.026,-0.085,-0.13,-14.435,26.046,69.039,0.01,0.043,-0.04,5243.0,-13681.0,-6614.0,1957,1894,1,1850,1900,1,0
1,Udarzenia_lewa,2025-10-05 02:22:26.487,3.876,-7.736,6.043,-0.055,0.253,-0.298,-14.435,26.046,69.039,-0.098,0.024,0.034,5971.0,-12667.0,-6611.0,1967,1900,1,1849,1903,1,0
