Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
2,Strzal,2025-10-05 02:41:28.735,2.974,-9.888,0.874,-0.1,0.175,-0.045,0.588,1.608,9.14,-0.042,-0.235,-0.156,36.0,-12534.0,-8807.0,1958,1899,1,1842,1911,1,0
2,Strzal,2025-10-05 02:41:28.844,2.978,-9.452,0.936,-0.23,0.065,0.026,0.235,1.569,9.336,0.135,-0.026,-0.215,-147.0,-11833.0,-8169.0,1961,1902,1,1847,1911,1,0
2,Strzal,2025-10-05 02:41:28.953,3.033,-10.238,0.187,-0.155,0.268,-0.071,0.039,1.53,9.179,-0.562,0.431,0.192,-104.0,-10373.0,-12370.0,1957,1895,1,1839,1911,1,0
2,Strzal,2025-10-05 02:41:29.065,1.444,-9.443,-0.127,-0.135,0.423,-0.185,-0.275,1.02,9.179,-2.525,2.273,-0.606,3462.0,-11956.0,-15959.0,1965,1879,1,1849,1911,1,0
2,Strzal,2025-10-05 02:41:29.183,2.634,-9.337,1.475,-0.484,0.458,-0.375,0.078,1.765,10.042,-1.022,2.578,-3.975,9512.0,-14263.0,-8962.0,1958,1890,1,1834,1907,1,0
2,Strzal,2025-10-05 02:41:29.295,4.353,-9.622,1.353,-0.153,-0.131,0.054,-0.039,2.275,9.885,-0.789,0.625,-5.271,8934.0,-2805.0,-3161.0,1961,1899,1,1840,1909,1,0
2,Strzal,2025-10-05 02:41:29.403,3.153,-9.658,0.115,0.06,-0.847,0.249,-0.392,1.687,9.414,0.467,-3.142,-5.711,-11497.0,11159.0,-6685.0,1962,1888,1,1866,1914,1,0
2,Strzal,2025-10-05 02:41:29.513,2.119,-10.597,-0.285,-0.567,0.13,0.055,0.275,1.412,7.61,0.784,3.049,-1.382,-6634.0,17738.0,-24873.0,1963,1910,1,1842,1907,1,0
2,Strzal,2025-10-05 02:41:29.625,3.728,-11.466,0.019,0.131,0.308,-0.44,1.216,3.06,10.748,2.106,4.403,0.132,-431.0,21075.0,-10200.0,1963,1904,1,1857,1906,1,0
2,Strzal,2025-10-05 02:41:29.734,4.195,-9.895,-1.817,-0.523,0.454,-0.191,1.02,3.766,9.728,2.98,3.241,2.409,8104.0,15812.0,-5246.0,1963,1911,1,1844,1902,1,0
2,Strzal,2025-10-05 02:41:29.845,4.503,-9.172,-1.113,-0.839,0.463,-0.157,0.549,3.295,8.669,2.697,1.892,4.004,7426.0,4252.0,-224.0,1957,1891,1,1841,1920,1,0
2,Strzal,2025-10-05 02:41:29.955,3.51,-8.358,-0.407,-0.545,0.27,-0.074,1.098,2.824,8.12,2.178,1.808,4.573,-4423.0,-7951.0,3206.0,1955,1899,1,1847,1915,1,0
2,Strzal,2025-10-05 02:41:30.065,4.207,-7.453,-0.821,-0.389,-0.304,0.115,0.981,2.864,8.865,0.075,1.504,3.245,-4291.0,-17135.0,1786.0,1955,1898,1,1843,1904,1,0
2,Strzal,2025-10-05 02:41:30.175,3.129,-6.862,-2.243,-0.319,-0.351,0.496,1.491,3.295,8.826,-0.916,0.345,1.865,-7089.0,-20667.0,4923.0,1958,1893,1,1854,1911,1,0
2,Strzal,2025-10-05 02:41:30.285,3.069,-11.164,-2.219,0.304,-0.046,0.715,0.902,3.844,9.14,0.294,-0.407,0.376,-3880.0,-22540.0,-298.0,2005,1904,1,4095,4066,1,0
2,Strzal,2025-10-05 02:41:30.394,2.128,-11.691,-1.3,0.742,-0.283,-0.116,0.902,3.06,8.983,-1.655,-0.303,-0.101,-5199.0,-21370.0,616.0,1959,1891,1,1837,1921,1,0
2,Strzal,2025-10-05 02:41:30.515,1.425,-11.751,-1.812,-0.024,-0.122,0.027,0.706,3.138,9.218,-0.502,-1.046,-1.574,-7139.0,-15359.0,-102.0,1961,1891,1,1841,1904,1,0
