Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
2,Syf,2025-10-05 02:42:42.125,-4.99,-2.097,8.586,-0.2,0.105,-0.091,0.51,1.059,9.414,-0.017,-0.162,0.054,-13919.0,-5077.0,-6203.0,1968,1902,1,1842,1907,1,0
2,Syf,2025-10-05 02:42:42.245,-5.009,-2.033,8.808,-0.226,0.203,-0.157,0.628,0.863,9.375,0.013,-0.02,-0.085,-14404.0,-4857.0,-6306.0,1964,1899,1,1843,1902,1,0
2,Syf,2025-10-05 02:42:42.363,-5.083,-1.937,8.262,-0.294,0.155,-0.103,0.628,0.785,9.454,0.023,0.024,-0.14,-14471.0,-4668.0,-6377.0,1963,1897,1,1843,1904,1,0
2,Syf,2025-10-05 02:42:42.473,-5.296,-1.899,8.329,-0.24,0.098,-0.024,0.628,0.902,9.571,0.064,0.034,-0.099,-14289.0,-4422.0,-6303.0,1963,1950,1,1840,1903,1,0
2,Syf,2025-10-05 02:42:42.583,-5.253,-1.856,8.255,-0.172,0.009,-0.024,0.628,0.824,9.571,-0.021,0.12,0.012,-14372.0,-4643.0,-6072.0,1968,1895,1,1846,1911,1,0
2,Syf,2025-10-05 02:42:42.695,-5.203,-1.915,8.365,-0.135,0.049,0.018,0.549,0.785,9.414,-0.015,0.035,0.044,-14159.0,-4767.0,-6196.0,1961,1897,1,1837,1913,1,0
2,Syf,2025-10-05 02:42:42.805,-5.241,-2.078,8.437,-0.153,0.047,0.036,0.745,0.628,9.493,-0.033,0.034,0.054,-14202.0,-4815.0,-6306.0,1966,1905,1,1840,1904,1,0
2,Syf,2025-10-05 02:42:42.915,-5.169,-2.133,8.454,-0.184,0.01,-0.004,0.706,0.588,9.493,-0.062,-0.021,0.036,-14097.0,-4951.0,-6466.0,1960,1895,1,1846,1917,1,0
2,Syf,2025-10-05 02:42:43.035,-5.27,-2.179,8.32,-0.216,0.019,-0.027,0.628,0.628,9.454,-0.115,-0.002,-0.005,-14181.0,-5114.0,-6376.0,1966,1895,1,1840,1905,1,0
2,Syf,2025-10-05 02:42:43.155,-5.239,-1.973,8.329,-0.241,0.03,-0.053,0.706,0.392,9.493,-0.224,-0.044,-0.066,-14172.0,-4856.0,-6344.0,1967,1895,1,1845,1866,1,0
2,Syf,2025-10-05 02:42:43.275,-5.191,-1.92,8.365,-0.246,-0.037,-0.013,0.706,0.235,9.454,-0.648,-0.118,-0.169,-14071.0,-4967.0,-6534.0,1963,1891,1,1844,1906,1,0
2,Syf,2025-10-05 02:42:43.395,-5.09,-2.021,8.471,-0.227,0.007,0.038,0.588,0.118,9.532,-1.272,-0.237,-0.421,-14006.0,-5258.0,-7211.0,1963,1897,1,1841,1906,1,0
2,Syf,2025-10-05 02:42:43.515,-5.088,-2.191,8.349,-0.172,0.005,0.042,0.785,0.235,9.493,-1.379,-0.253,-0.593,-13791.0,-5737.0,-8015.0,1963,1899,1,1845,1904,1,0
2,Syf,2025-10-05 02:42:43.635,-5.069,-2.207,8.478,-0.195,-0.022,0.058,0.941,0.392,9.532,-1.248,0.04,-0.716,-13474.0,-4822.0,-8868.0,1968,1901,1,1846,1904,1,0
2,Syf,2025-10-05 02:42:43.755,-5.049,-2.267,8.499,-0.26,0.016,0.011,0.941,0.392,9.493,-1.039,0.303,-0.75,-13500.0,-4346.0,-10427.0,1965,1898,1,1840,1904,1,0
2,Syf,2025-10-05 02:42:43.875,-5.013,-2.181,8.404,-0.267,0.013,0.003,1.138,0.392,9.532,-0.57,0.574,-0.555,-12664.0,-4263.0,-10590.0,1968,1895,1,1847,1907,1,0
2,Syf,2025-10-05 02:42:43.995,-5.181,-2.274,8.353,-0.305,0.019,0.025,1.216,0.785,9.454,-0.11,0.74,-0.512,-11927.0,-4481.0,-11176.0,1968,1891,1,1850,1903,1,0
2,Syf,2025-10-05 02:42:44.115,-5.064,-2.217,8.399,-0.255,0.032,0.017,1.177,1.059,9.454,-0.071,0.718,-0.479,-10708.0,-4882.0,-11265.0,1961,1872,1,1841,1907,1,0
2,Syf,2025-10-05 02:42:44.235,-5.004,-2.205,8.523,-0.292,0.012,0.064,1.138,1.059,9.336,0.116,0.723,-0.352,-9366.0,-5469.0,-11921.0,1968,1900,1,1839,1909,1,0
2,Syf,2025-10-05 02:42:44.345,-5.08,-2.236,8.466,-0.248,0.005,0.068,1.177,1.138,9.375,0.019,0.641,-0.286,-8299.0,-5396.0,-13076.0,1968,1893,1,1835,1909,1,0
2,Syf,2025-10-05 02:42:44.455,-5.047,-2.253,8.384,-0.209,0.014,0.081,1.177,1.373,9.414,0.01,0.572,-0.143,-6865.0,-5978.0,-13072.0,1968,1897,1,1840,1904,1,0
2,Syf,2025-10-05 02:42:44.565,-5.116,-2.334,8.279,-0.205,0.056,0.112,1.138,1.334,9.336,0.001,0.518,-0.048,-6068.0,-6599.0,-12846.0,1958,1901,1,1842,1917,1,0
2,Syf,2025-10-05 02:42:44.675,-5.1,-2.406,8.38,-0.167,0.126,0.088,0.941,1.569,9.336,0.035,0.442,-0.069,-5269.0,-7239.0,-13208.0,1963,1903,1,1844,1897,1,0
2,Syf,2025-10-05 02:42:44.783,-4.915,-2.365,8.48,-0.179,0.111,-0.003,1.098,1.451,9.336,0.047,0.5,-0.185,-4547.0,-7344.0,-13502.0,1965,1898,1,1846,1930,1,0
2,Syf,2025-10-05 02:42:44.893,-5.121,-2.377,8.399,-0.233,0.068,0.01,1.138,1.687,9.454,-0.089,0.351,-0.235,-3721.0,-7448.0,-13852.0,1965,1895,1,1845,1899,1,0
2,Syf,2025-10-05 02:42:45.005,-5.176,-2.294,8.238,-0.26,0.061,-0.012,1.255,1.451,9.375,-0.015,0.385,-0.216,-2697.0,-7350.0,-13623.0,1966,1893,1,1839,1904,1,0
2,Syf,2025-10-05 02:42:45.125,-5.207,-2.284,8.322,-0.215,0.053,-0.004,1.216,1.451,9.336,-0.0,0.3,-0.226,-1704.0,-7408.0,-13302.0,1968,1888,1,1841,2085,1,0
2,Syf,2025-10-05 02:42:45.245,-5.148,-2.284,8.404,-0.215,0.073,0.009,1.334,1.608,9.297,-0.127,0.388,-0.31,-759.0,-7403.0,-14362.0,1967,1895,1,1839,1903,1,0
2,Syf,2025-10-05 02:42:45.355,-5.236,-2.313,8.399,-0.19,0.094,0.02,1.451,1.334,9.414,-0.13,0.303,-0.303,-104.0,-6976.0,-14601.0,1966,1901,1,1845,1907,1,0
2,Syf,2025-10-05 02:42:45.465,-5.272,-2.241,8.308,-0.205,0.024,0.023,1.334,1.255,9.336,-0.042,0.324,-0.202,706.0,-6908.0,-14345.0,1956,1901,1,1858,1906,1,0
2,Syf,2025-10-05 02:42:45.575,-5.298,-2.365,8.234,-0.189,0.046,0.005,1.334,1.294,9.336,0.03,0.323,-0.148,1042.0,-7086.0,-13715.0,1968,1897,1,1843,1900,1,0
2,Syf,2025-10-05 02:42:45.685,-5.272,-2.339,8.282,-0.199,0.031,0.015,1.373,1.098,9.414,0.027,0.251,-0.167,1630.0,-7037.0,-13713.0,1968,1895,1,1840,1910,1,0
2,Syf,2025-10-05 02:42:45.795,-5.303,-2.342,8.303,-0.186,0.042,-0.021,1.451,0.941,9.375,0.008,0.322,-0.228,2270.0,-7581.0,-13952.0,1962,1887,1,1856,1906,1,0
2,Syf,2025-10-05 02:42:45.903,-5.289,-2.133,8.021,-0.15,0.11,-0.05,1.53,0.745,9.532,-0.067,0.344,-0.341,2651.0,-7511.0,-13681.0,1963,1894,1,1842,1905,1,0
2,Syf,2025-10-05 02:42:46.015,-5.32,-2.239,7.566,-0.049,0.357,-0.085,1.804,0.51,9.571,-0.163,-1.516,-0.205,-3967.0,-4810.0,967.0,1980,1891,1,1839,1907,1,0
2,Syf,2025-10-05 02:42:46.125,-5.483,-2.878,8.528,0.067,0.231,-0.294,1.098,0.745,9.689,0.252,-2.197,0.158,-2200.0,-4314.0,-10542.0,1963,1891,1,1847,1905,1,0
2,Syf,2025-10-05 02:42:46.235,-5.296,-2.837,8.564,-0.358,-0.017,-0.239,1.491,1.059,9.493,0.683,-1.229,0.448,-4509.0,-7448.0,-16963.0,1968,1900,1,1844,1908,1,0
2,Syf,2025-10-05 02:42:46.355,-5.373,-2.167,8.444,-0.268,-0.106,-0.314,1.294,1.059,9.454,0.356,-1.122,0.576,-7252.0,-8289.0,-15440.0,1962,1891,1,1845,1905,1,0
2,Syf,2025-10-05 02:42:46.475,-5.401,-2.756,7.994,-0.324,-0.11,-0.068,1.177,0.981,9.336,-0.198,-0.768,0.502,-8427.0,-8491.0,-15361.0,1962,1895,1,1847,1907,1,0
2,Syf,2025-10-05 02:42:46.595,-5.464,-2.753,7.695,-0.237,-0.012,-0.118,1.098,1.059,9.414,0.053,-0.619,0.453,-9756.0,-6683.0,-10161.0,1966,1891,1,1848,1904,1,0
2,Syf,2025-10-05 02:42:46.713,-5.353,-3.292,7.807,-0.327,0.32,-0.102,0.902,1.098,9.532,0.081,-0.616,0.417,-10770.0,-7173.0,-9828.0,1968,1898,1,1839,1904,1,0
2,Syf,2025-10-05 02:42:46.825,-5.205,-3.05,7.97,-0.294,0.276,-0.069,0.863,1.138,9.375,-0.237,-0.818,0.363,-12182.0,-6919.0,-10413.0,1965,1893,1,1850,1909,1,0
2,Syf,2025-10-05 02:42:46.943,-5.274,-3.378,7.937,-0.237,0.113,0.013,0.863,1.059,9.297,-0.006,-0.772,0.318,-12927.0,-6309.0,-9383.0,1966,1895,1,1850,1905,1,0
2,Syf,2025-10-05 02:42:47.056,-4.978,-3.247,8.215,-0.328,-0.066,0.134,0.824,1.02,9.375,-0.318,-0.546,0.159,-13684.0,-5901.0,-9230.0,1965,1893,1,1840,1905,1,0
2,Syf,2025-10-05 02:42:47.175,-4.851,-3.402,8.595,-0.291,-0.21,0.123,0.549,1.177,9.454,-0.271,-0.423,0.196,-14103.0,-4624.0,-7468.0,1966,1903,1,1849,1913,1,0
2,Syf,2025-10-05 02:42:47.293,-4.156,-3.654,9.383,-1.169,-0.599,0.766,0.706,0.941,9.414,0.02,-0.364,0.201,-14885.0,-4772.0,-6217.0,1963,1897,1,1841,1909,1,0
2,Syf,2025-10-05 02:42:47.403,-4.741,-4.3,8.54,-0.604,-0.544,0.117,0.785,0.706,9.454,0.001,-0.255,0.119,-14680.0,-4352.0,-6544.0,1968,1897,1,1840,1904,1,0
