Participant_ID,Activity_Type,Timestamp,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,adxl_ax,adxl_ay,adxl_az,l3gd_gx,l3gd_gy,l3gd_gz,lsm_ax,lsm_ay,lsm_az,joy_lx,joy_ly,joy_lb,joy_rx,joy_ry,joy_rb,mpu_temp
5,Udarzenia_lewa,2025-10-05 03:15:34.336,7.298,-5.476,-4.13,-0.222,0.054,-0.082,-1.412,-0.628,3.02,-0.044,-0.139,0.055,498.0,-15606.0,4507.0,1963,1895,1,1840,1909,1,0
5,Udarzenia_lewa,2025-10-05 03:15:34.447,7.156,-5.571,-4.554,-0.226,0.02,-0.089,-1.412,-0.628,3.02,-0.155,-0.15,0.068,138.0,-14963.0,4172.0,1968,1895,1,1842,1904,1,0
5,Udarzenia_lewa,2025-10-05 03:15:34.558,7.228,-5.995,-4.326,-0.05,-0.103,-0.116,-1.412,-0.628,3.02,-0.057,-0.158,0.117,-36.0,-15281.0,4278.0,1966,1897,1,1844,1927,1,0
5,Udarzenia_lewa,2025-10-05 03:15:34.679,8.734,-8.274,-3.364,-0.853,-0.41,-0.569,-1.412,-0.628,3.02,-0.226,0.248,-0.23,-2227.0,-15832.0,4430.0,1965,1898,1,1840,1909,1,0
5,Udarzenia_lewa,2025-10-05 03:15:34.796,19.331,0.84,-8.15,1.349,4.366,-1.771,-1.412,-0.628,3.02,0.108,1.345,-0.409,-3224.0,-13138.0,5264.0,1963,1895,1,1840,1904,1,0
5,Udarzenia_lewa,2025-10-05 03:15:34.908,10.199,11.983,7.386,-4.366,4.366,4.026,-1.412,-0.628,3.02,0.037,2.005,-0.369,2284.0,-15055.0,6752.0,1966,1899,1,1843,1907,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.018,-43.024,-12.043,-10.386,4.366,-4.366,4.366,-1.412,-0.628,3.02,-0.1,1.323,-0.724,1267.0,-16714.0,3877.0,1965,1897,1,1843,1911,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.138,-5.756,6.361,19.357,-2.755,0.488,-3.613,-1.412,-0.628,3.02,0.428,0.79,-0.844,430.0,-11024.0,719.0,1965,1895,1,1842,1912,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.248,-4.752,-10.458,4.142,-0.255,0.934,-3.221,-1.412,-0.628,3.02,0.308,0.688,-0.702,4025.0,-17439.0,5001.0,1966,1898,1,1840,1905,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.368,-0.534,-7.798,4.863,-1.643,0.637,-2.773,-1.412,-0.628,3.02,0.087,-0.239,-0.065,2102.0,-15080.0,3902.0,1961,1895,1,1826,1906,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.488,4.266,-7.738,5.514,-1.124,-0.758,-1.363,-1.412,-0.628,3.02,0.211,-0.385,-0.009,1163.0,-15005.0,3845.0,1965,1907,1,1843,1910,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.606,8.006,-7.077,2.234,-1.905,-1.181,-0.377,-1.412,-0.628,3.02,0.276,-0.776,0.16,2507.0,-14251.0,4999.0,2025,1899,1,4095,4095,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.719,9.024,-6.725,-0.055,-0.865,-3.092,-0.438,-1.412,-0.628,3.02,0.18,-1.233,0.639,2654.0,-14744.0,5295.0,1951,1897,1,1894,1967,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.838,8.763,-9.469,-5.286,-0.986,-3.319,-0.423,-1.412,-0.628,3.02,0.045,-1.51,0.677,1481.0,-14539.0,4976.0,2027,1895,1,4095,4095,1,0
5,Udarzenia_lewa,2025-10-05 03:15:35.958,6.742,-5.38,-4.681,-0.675,-1.944,-0.241,-1.412,-0.628,3.02,0.156,-1.35,0.463,-476.0,-13494.0,5175.0,2026,1898,1,4095,4095,1,0
5,Udarzenia_lewa,2025-10-05 03:15:36.079,6.914,-7.015,-6.656,0.017,-0.51,-0.461,-1.412,-0.628,3.02,-0.159,-0.942,0.803,-3072.0,-16621.0,4861.0,2027,1899,1,4095,4095,1,0
5,Udarzenia_lewa,2025-10-05 03:15:36.198,4.98,-5.265,-5.954,0.346,0.249,-0.567,-1.412,-0.628,3.02,-0.586,-0.128,0.389,-2263.0,-14913.0,3133.0,2023,1895,1,4095,4095,1,0
